ID,SumFormula,CellVolume,FormulaUnitsPerCell,FormulaWeight,Temperature,Pressure,Density,Year,NumElements,NumVanadium
416841,H22 N4 O16 Te2 V2,817.8,2,691.268,293.0,0.101325,2.81,2007,5,2.0
72652,H1 Li1 O5.5 P1 V1,427.14,4,177.8515,293.0,0.101325,2.77,1993,5,1.0
52299,Sb0.2 Si0.8 V3,107.24,2,199.6388,293.0,0.101325,6.18,1977,3,3.0
72655,Cu1 P2 S6 V1,392.76,2,368.814,20.0,0.101325,3.12,1993,4,1.0
72659,O8 P0.3 Pb3 V1.7,583.19,3,845.451,585.0,0.101325,7.22,1993,4,1.7
72660,O8 P0.7 Pb3 V1.3,567.11,3,837.4630000000001,85.0,0.101325,7.36,1993,4,1.3
72661,O8 P0.7 Pb3 V1.3,567.67,3,837.4630000000001,300.0,0.101325,7.35,1993,4,1.3
72662,O8 P0.7 Pb3 V1.3,574.03,3,837.4630000000001,585.0,0.101325,7.27,1993,4,1.3
72663,O8 P1 Pb3 V1,560.93,3,831.472,5.0,0.101325,7.38,1993,4,1.0
72664,O8 P1 Pb3 V1,562.88,3,831.472,300.0,0.101325,7.36,1993,4,1.0
97313,H6 O8 S1 V1,633.47,4,217.044,293.0,0.101325,2.28,2003,4,1.0
72665,O8 P1.5 Pb3 V0.5,738.7,4,821.487,85.0,0.101325,7.39,1993,4,0.5
72666,O8 P1.5 Pb3 V0.5,552.8,3,821.487,300.0,0.101325,7.4,1993,4,0.5
607714,Al1 Fe2 V1,191.1,4,189.62,293.0,0.101325,6.59,1989,3,1.0
428285,S4 V1,830.32,8,179.196,150.0,0.101325,2.87,2015,2,1.0
53,B50 V1.54,391.42,1,618.9976,293.0,0.101325,2.63,1976,2,1.54
402709,Te4 V4.64,368.57,2,746.7616,293.0,0.101325,6.73,1997,2,4.64
97336,Cr1 Nb1 V1,354.79,8,195.85,295.0,0.101325,7.33,2003,3,1.0
52331,Sb2 V1,241.95,4,294.44,293.0,0.101325,8.08,1972,2,1.0
52330,Sb1 V3,120.63,2,274.57,293.0,0.101325,7.56,1969,2,3.0
97337,D0.384 Cr1 Nb1 V1,361.99,8,196.6241,295.0,0.101325,7.22,2003,4,1.0
246907,I2 V1,94.39,1,304.74,4.2,0.101325,5.36,1983,2,1.0
246905,Cl2 V1,64.39,1,121.84,1.4,0.101325,3.14,1983,2,1.0
246906,Br2 V1,75.62,1,210.74,1.5,0.101325,4.63,1983,2,1.0
83,P1.7455 V1,290.61,8,104.9981,293.0,0.101325,4.8,1976,2,1.0
72742,H4 As2 O9 V1,680.23,4,348.80300000000005,293.0,0.101325,3.41,1992,4,1.0
72748,As1 Na1 O5 V1,378.71,4,228.845,293.0,0.101325,4.01,1992,4,1.0
405961,Mo1.46 O12 V1.54 Zn3.77,921.89,4,656.9529,153.2,0.101325,4.73,1997,4,1.54
