# data measurmenet number	time	concentration
1	1.00	0.56
2	1.09	0.50
3	1.18	0.48
4	1.27	0.50
5	1.36	0.46
6	1.45	0.43
7	1.55	0.42
8	1.64	0.38
9	1.73	0.37
10	1.82	0.37
11	1.91	0.32
12	2.00	0.33
13	2.09	0.28
14	2.18	0.25
15	2.27	0.24
16	2.36	0.23
17	2.45	0.26
18	2.55	0.25
19	2.64	0.22
20	2.73	0.19
21	2.82	0.21
22	2.91	0.17
23	3.00	0.17
24	3.09	0.15
25	3.18	0.15
26	3.27	0.16
27	3.36	0.13
28	3.45	0.14
29	3.55	0.14
30	3.64	0.15
31	3.73	0.11
32	3.82	0.13
33	3.91	0.11
34	4.00	0.11
35	4.09	0.11
36	4.18	0.09
37	4.27	0.09
38	4.36	0.08
39	4.45	0.10
40	4.55	0.10
41	4.64	0.08
42	4.73	0.10
43	4.82	0.11
44	4.91	0.08
45	5.00	0.09
46	5.09	0.07
47	5.18	0.07
48	5.27	0.09
49	5.36	0.11
50	5.45	0.08
51	5.55	0.10
52	5.64	0.07
53	5.73	0.07
54	5.82	0.07
55	5.91	0.05
56	6.00	0.06
57	6.09	0.06
58	6.18	0.06
59	6.27	0.06
60	6.36	0.05
61	6.45	0.05
62	6.55	0.06
63	6.64	0.06
64	6.73	0.07
65	6.82	0.05
66	6.91	0.08
67	7.00	0.05
68	7.09	0.06
69	7.18	0.04
70	7.27	0.09
71	7.36	0.08
72	7.45	0.06
73	7.55	0.04
74	7.64	0.05
75	7.73	0.05
76	7.82	0.04
77	7.91	0.09
78	8.00	0.07
79	8.09	0.04
80	8.18	0.05
81	8.27	0.09
82	8.36	0.07
83	8.45	0.04
84	8.55	0.05
85	8.64	0.06
86	8.73	0.04
87	8.82	0.04
88	8.91	0.04
89	9.00	0.09
90	9.09	0.09
91	9.18	0.04
92	9.27	0.08
93	9.36	0.09
94	9.45	0.04
95	9.55	0.08
96	9.64	0.04
97	9.73	0.04
98	9.82	0.04
99	9.91	0.07
