# data measurement number	temperature/C	solubility/g NaCl/100g water
1	0.00	35.26
2	1.02	35.30
3	2.04	35.40
4	3.06	35.53
5	4.08	35.50
6	5.10	35.69
7	6.12	35.53
8	7.14	35.65
9	8.16	35.70
10	9.18	35.64
11	10.20	35.72
12	11.22	35.87
13	12.24	35.82
14	13.27	35.90
15	14.29	36.00
16	15.31	35.93
17	16.33	35.90
18	17.35	36.08
19	18.37	36.03
20	19.39	35.94
21	20.41	36.20
22	21.43	36.09
23	22.45	36.31
24	23.47	36.18
25	24.49	36.34
26	25.51	36.34
27	26.53	36.25
28	27.55	36.28
29	28.57	36.52
30	29.59	36.34
31	30.61	36.34
32	31.63	36.57
33	32.65	36.41
34	33.67	36.62
35	34.69	36.68
36	35.71	36.47
37	36.73	36.74
38	37.76	36.63
39	38.78	36.74
40	39.80	36.96
41	40.82	36.87
42	41.84	36.82
43	42.86	36.86
44	43.88	36.95
45	44.90	37.28
46	45.92	37.06
47	46.94	36.97
48	47.96	37.17
49	48.98	37.18
50	50.00	37.23
51	51.02	37.27
52	52.04	37.41
53	53.06	37.48
54	54.08	37.36
55	55.10	37.37
56	56.12	37.46
57	57.14	37.69
58	58.16	37.72
59	59.18	37.46
60	60.20	37.63
61	61.22	37.49
62	62.24	37.76
63	63.27	37.64
64	64.29	37.75
65	65.31	37.84
66	66.33	37.87
67	67.35	37.98
68	68.37	38.06
69	69.39	37.97
70	70.41	38.17
71	71.43	38.08
72	72.45	37.94
73	73.47	38.27
74	74.49	38.17
75	75.51	38.14
76	76.53	38.39
77	77.55	38.27
78	78.57	38.37
79	79.59	38.45
80	80.61	38.28
81	81.63	38.19
82	82.65	38.60
83	83.67	38.69
84	84.69	38.69
85	85.71	38.50
86	86.73	38.69
87	87.76	38.57
88	88.78	38.65
89	89.80	38.68
90	90.82	38.79
91	91.84	38.87
92	92.86	38.72
93	93.88	38.73
94	94.90	38.85
95	95.92	39.02
96	96.94	39.05
97	97.96	39.16
98	98.98	39.02
99	100.00	39.05
