#sample  weight,g
1  1.278669999999999973e+01
2  1.125580000000000069e+01
3  1.182259999999999955e+01
4  1.421570000000000000e+01
5  1.199549999999999983e+01
6  1.275300000000000011e+01
7  1.060399999999999920e+01
8  1.272669999999999924e+01
9  1.132039999999999935e+01
10  1.136159999999999926e+01
11  1.213840000000000074e+01
12  1.230100000000000016e+01
13  1.103200000000000003e+01
14  1.080860000000000021e+01
15  1.358000000000000007e+01
16  1.258999999999999986e+01
17  1.192999999999999972e+01
18  1.241000000000000014e+01
19  1.242600000000000016e+01
20  1.043500000000000050e+01
21  1.039000000000000057e+01
22  1.289000000000000057e+01
23  1.149000000000000021e+01
24  1.244999999999999929e+01
25  1.202200000000000024e+01
26  1.306000000000000050e+01
27  1.266999999999999993e+01
28  9.284000000000000696e+00
29  1.132000000000000028e+01
30  1.257000000000000028e+01
31  1.190900000000000070e+01
32  1.205499999999999972e+01
33  1.198000000000000043e+01
34  1.148000000000000043e+01
35  1.099000000000000021e+01
36  1.178999999999999915e+01
37  1.135699999999999932e+01
38  1.019599999999999973e+01
39  1.216000000000000014e+01
40  1.100999999999999979e+01
41  1.233000000000000007e+01
42  1.214000000000000057e+01
43  1.171100000000000030e+01
44  1.237299999999999933e+01
45  1.325999999999999979e+01
46  1.125999999999999979e+01
47  1.278999999999999915e+01
48  1.210999999999999943e+01
49  1.183099999999999952e+01
50  1.081000000000000050e+01
