#Daily and Multi-day air quality monitoring data
#Measured data - All Data are GMT hour ending
#Data for year 2016
#"Multi-day data",,
#London Westminster,,
Start Date,End Date,As,Status / units,Cd,Status / units,Co,Status / units,Cr,Status / units,Cu,Status / units,Fe,Status / units,Hg[t],Status / units,Mn,Status / units,Ni,Status / units,Pb,Status / units,Se,Status / units,V,Status / units,Zn,Status / units,
01/01/2016,05/01/2016,,,,,,,,,,,,,1.737,V ngm-3,,,,,,,,,,,,,
01/01/2016,12/01/2016,0.701,V ngm-3,0.0599,V ngm-3,0.153,V ngm-3,<1.1,V ngm-3,10.69,V ngm-3,393.7,V ngm-3,,,5.078,V ngm-3,1.477,V ngm-3,5.05,V ngm-3,0.33,V ngm-3,1.108,V ngm-3,14.16,V ngm-3,
05/01/2016,03/02/2016,,,,,,,,,,,,,2.492,V ngm-3,,,,,,,,,,,,,
12/01/2016,10/02/2016,0.863,V ngm-3,0.1455,V ngm-3,0.158,V ngm-3,<1.2,V ngm-3,15.08,V ngm-3,415.4,V ngm-3,,,4.669,V ngm-3,0.72,V ngm-3,8.23,V ngm-3,0.34,V ngm-3,0.541,V ngm-3,21.24,V ngm-3,
03/02/2016,23/02/2016,,,,,,,,,,,,,1.678,V ngm-3,,,,,,,,,,,,,
10/02/2016,08/03/2016,0.754,V ngm-3,0.1085,V ngm-3,0.166,V ngm-3,<1.2,V ngm-3,15.1,V ngm-3,473.1,V ngm-3,,,5.569,V ngm-3,0.766,V ngm-3,8.44,V ngm-3,0.5,V ngm-3,0.441,V ngm-3,21.5,V ngm-3,
02/03/2016,23/03/2016,,,,,,,,,,,,,3.349,V ngm-3,,,,,,,,,,,,,
08/03/2016,07/04/2016,0.803,V ngm-3,0.1223,V ngm-3,0.115,V ngm-3,<1.3,V ngm-3,13.85,V ngm-3,430.7,V ngm-3,,,5.183,V ngm-3,0.905,V ngm-3,6.66,V ngm-3,0.65,V ngm-3,0.581,V ngm-3,20.15,V ngm-3,
01/04/2016,29/04/2016,,,,,,,,,,,,,4.252,V ngm-3,,,,,,,,,,,,,
07/04/2016,05/05/2016,0.664,V ngm-3,0.0912,V ngm-3,0.117,V ngm-3,<0.5,V ngm-3,12.55,V ngm-3,408.1,V ngm-3,,,5.17,V ngm-3,0.828,V ngm-3,6.22,V ngm-3,0.29,V ngm-3,0.63,V ngm-3,16.23,V ngm-3,
29/04/2016,26/05/2016,,,,,,,,,,,,,1.736,V ngm-3,,,,,,,,,,,,,
05/05/2016,01/06/2016,0.649,V ngm-3,0.1183,V ngm-3,0.126,V ngm-3,<1.2,V ngm-3,14,V ngm-3,478.7,V ngm-3,,,6.569,V ngm-3,0.93,V ngm-3,6.89,V ngm-3,0.66,V ngm-3,0.996,V ngm-3,19.26,V ngm-3,
26/05/2016,22/06/2016,,,,,,,,,,,,,2.602,V ngm-3,,,,,,,,,,,,,
01/06/2016,30/06/2016,0.664,V ngm-3,0.0968,V ngm-3,0.099,V ngm-3,<1.4,V ngm-3,13.04,V ngm-3,394.9,V ngm-3,,,4.475,V ngm-3,0.786,V ngm-3,7.42,V ngm-3,0.38,V ngm-3,0.664,V ngm-3,13.45,V ngm-3,
22/06/2016,19/07/2016,,,,,,,,,,,,,5.515,V ngm-3,,,,,,,,,,,,,
30/06/2016,28/07/2016,0.526,V ngm-3,0.0874,V ngm-3,0.095,V ngm-3,<0.5,V ngm-3,11.61,V ngm-3,379.3,V ngm-3,,,4.606,V ngm-3,0.78,V ngm-3,6.25,V ngm-3,0.52,V ngm-3,0.808,V ngm-3,12.98,V ngm-3,
19/07/2016,16/08/2016,,,,,,,,,,,,,1.253,V ngm-3,,,,,,,,,,,,,
28/07/2016,23/08/2016,0.443,V ngm-3,0.0719,V ngm-3,0.092,V ngm-3,<1.3,V ngm-3,11.65,V ngm-3,385.1,V ngm-3,,,4.792,V ngm-3,0.68,V ngm-3,4.65,V ngm-3,0.42,V ngm-3,0.856,V ngm-3,13.34,V ngm-3,
16/08/2016,14/09/2016,,,,,,,,,,,,,3.997,V ngm-3,,,,,,,,,,,,,
23/08/2016,21/09/2016,0.822,V ngm-3,0.139,V ngm-3,0.127,V ngm-3,<0.9,V ngm-3,18.11,V ngm-3,578.9,V ngm-3,,,7.498,V ngm-3,1.056,V ngm-3,9.43,V ngm-3,0.81,V ngm-3,1.011,V ngm-3,20.66,V ngm-3,
14/09/2016,12/10/2016,,,,,,,,,,,,,0.988,V ngm-3,,,,,,,,,,,,,
21/09/2016,19/10/2016,0.66,V ngm-3,0.1187,V ngm-3,0.103,V ngm-3,<1.6,V ngm-3,16.31,V ngm-3,492.1,V ngm-3,,,5.582,V ngm-3,0.772,V ngm-3,7.53,V ngm-3,0.47,V ngm-3,0.611,V ngm-3,18.37,V ngm-3,
12/10/2016,09/11/2016,,,,,,,,,,,,,0.865,V ngm-3,,,,,,,,,,,,,
19/10/2016,17/11/2016,1.731,V ngm-3,0.266,V ngm-3,0.118,V ngm-3,4,V ngm-3,24.32,V ngm-3,562.8,V ngm-3,,,6.611,V ngm-3,0.88,V ngm-3,14.31,V ngm-3,0.52,V ngm-3,0.672,V ngm-3,29.81,V ngm-3,
09/11/2016,05/12/2016,,,,,,,,,,,,,2.555,V ngm-3,,,,,,,,,,,,,
17/11/2016,14/12/2016,1.374,V ngm-3,0.2661,V ngm-3,0.128,V ngm-3,<2.8,V ngm-3,19.96,V ngm-3,576.1,V ngm-3,,,7.647,V ngm-3,0.801,V ngm-3,15.71,V ngm-3,0.59,V ngm-3,0.627,V ngm-3,29.79,V ngm-3,
14/12/2016,31/12/2016,1.339,V ngm-3,0.2069,V ngm-3,0.108,V ngm-3,4.6,V ngm-3,21.2,V ngm-3,577,V ngm-3,,,,,,,,,,,,,,,
05/12/2016,31/12/2016,,,,,,,,,,,,,1.577,V ngm-3,,,,,,,,,,,,,
14/12/2016,31/12/2016,,,,,,,,,,,,,,,6.209,V ngm-3,0.673,V ngm-3,12.25,V ngm-3,0.43,V ngm-3,0.654,V ngm-3,27.07,V ngm-3,
#Data for year 2017
#"Multi-day data",,
#London Westminster,,
#Start Date,End Date,As,Status / units,Cd,Status / units,Co,Status / units,Cr,Status / units,Cu,Status / units,Fe,Status / units,Hg[t],Status / units,Mn,Status / units,Ni,Status / units,Pb,Status / units,Se,Status / units,V,Status / units,Zn,Status / units,
01/01/2017,06/01/2017,,,,,,,,,,,,,1.891,V ngm-3,,,,,,,,,,,,,
01/01/2017,11/01/2017,1.393,V ngm-3,0.2152,V ngm-3,0.113,V ngm-3,4.8,V ngm-3,22.04,V ngm-3,600,V ngm-3,,,6.455,V ngm-3,0.699,V ngm-3,12.73,V ngm-3,<0.45,V ngm-3,0.68,V ngm-3,28.15,V ngm-3,
06/01/2017,31/01/2017,,,,,,,,,,,,,3.021,V ngm-3,,,,,,,,,,,,,
11/01/2017,07/02/2017,1.495,V ngm-3,0.2575,V ngm-3,0.14,V ngm-3,4.6,V ngm-3,20.4,V ngm-3,636.3,V ngm-3,,,8.373,V ngm-3,1.633,V ngm-3,13.77,V ngm-3,0.8,V ngm-3,0.8,V ngm-3,33.08,V ngm-3,
31/01/2017,28/02/2017,,,,,,,,,,,,,2.677,V ngm-3,,,,,,,,,,,,,
07/02/2017,07/03/2017,0.958,V ngm-3,0.139,V ngm-3,0.094,V ngm-3,3.3,V ngm-3,13.29,V ngm-3,448.6,V ngm-3,,,5.436,V ngm-3,1.036,V ngm-3,7.85,V ngm-3,<0.5,V ngm-3,0.831,V ngm-3,22.39,V ngm-3,
28/02/2017,30/03/2017,,,,,,,,,,,,,2.578,V ngm-3,,,,,,,,,,,,,
07/03/2017,05/04/2017,0.87,V ngm-3,0.1331,V ngm-3,0.191,V ngm-3,3.3,V ngm-3,16.95,V ngm-3,555.7,V ngm-3,,,6.768,V ngm-3,0.874,V ngm-3,7.94,V ngm-3,<0.44,V ngm-3,0.958,V ngm-3,23.26,V ngm-3,
30/03/2017,28/04/2017,,,,,,,,,,,,,2.917,V ngm-3,,,,,,,,,,,,,
05/04/2017,04/05/2017,0.83,V ngm-3,0.1376,V ngm-3,0.127,V ngm-3,<2.1,V ngm-3,16.65,V ngm-3,608.5,V ngm-3,,,7.676,V ngm-3,0.758,V ngm-3,8.1,V ngm-3,<0.41,V ngm-3,0.872,V ngm-3,22.29,V ngm-3,
28/04/2017,23/05/2017,,,,,,,,,,,,,2.257,V ngm-3,,,,,,,,,,,,,
04/05/2017,31/05/2017,0.617,V ngm-3,0.105,V ngm-3,0.113,V ngm-3,<1.7,V ngm-3,14.15,V ngm-3,474,V ngm-3,,,6.494,V ngm-3,1.009,V ngm-3,7.15,V ngm-3,<0.51,V ngm-3,1.125,V ngm-3,17.07,V ngm-3,
23/05/2017,21/06/2017,,,,,,,,,,,,,2.365,V ngm-3,,,,,,,,,,,,,
