ID,SumFormula,CellVolume,FormulaUnitsPerCell,FormulaWeight,Temperature,Pressure,Density,Year,NumElements,NumRhodium
199710,Rh1 Sn1 U1,187.58,3,457.7945,293.00,0.101325,12.16,1985,3,1.0
29213,Li1 O2 Rh1,112.95,3,140.0115,293.00,0.101325,6.18,1961,3,1.0
29214,Cu1 O2 Rh1,140.56,3,196.6225,293.00,0.101325,6.97,1961,3,1.0
197412,Rh3 V1,54.18,1,354.1635,293.00,0.101325,10.85,1977,2,3.0
190223,Al1 Co0.33 Rh0.67 U1,161.89,3,352.1768,12.00,0.101325,10.84,2000,4,0.67
59267,Cu1 O4 Rh2,301.31,4,329.6950,295.00,0.101325,7.27,1997,3,2.0
415337,B1 Rh6 Ti2,478.05,4,713.0580,293.00,0.101325,9.91,2006,3,6.0
44211,B1 Dy1 Rh3,72.36,1,476.5345,293.00,0.101325,10.94,1985,3,3.0
79621,C4 Cl2 O4 Rh2,1828.79,8,385.0890,147.00,0.101325,2.80,1993,4,2.0
90285,O6 Rh1 Sr3 Zn1,890.00,6,525.2985,293.00,0.101325,5.88,2000,4,1.0
79622,C4 Cl2 O4 Rh2,1892.19,8,385.0890,293.00,0.101325,2.70,1993,4,2.0
100938,Al1 Rh1 U1,169.17,3,366.0845,293.00,0.101325,10.78,1986,3,1.0
90299,Ge0.34 Nd1 Rh2 Si1.66,171.90,2,417.6924,293.00,0.101325,8.07,2000,4,2.0
99586,Al9 Ho2 Rh3,934.66,4,875.9035,293.00,0.101325,6.22,2004,3,3.0
431146,Bi7 I8 Rh1,2444.30,4,2579.1345,296.00,0.101325,7.01,2017,3,1.0
72680,H30 Mo6 N3 O30 Rh1,1462.52,2,1228.9455,296.00,0.101325,2.79,1991,5,1.0
72681,C4 Cl2 O4 Rh2,1906.98,8,385.0890,296.00,0.101325,2.68,1991,4,2.0
86395,B4 Rh5,193.01,2,548.6165,293.00,0.101325,9.44,1981,2,5.0
44234,B1 Er1 Pd1.8 Rh1.2,70.96,1,490.8804,293.00,0.101325,11.49,1987,4,1.2
433280,Al4 Bi9 Cl16 Rh1,10783.68,12,2657.0145,296.00,0.101325,4.91,2017,4,1.0
7776,Ca1 Rh2,427.40,8,242.2290,293.00,0.101325,7.53,2019,2,2.0
44236,B1 Er1 Pt1.2 Rh1.8,72.10,1,594.1131,293.00,0.101325,13.68,1987,4,1.8
44237,B1 Er1 Rh3,71.22,1,481.2945,293.00,0.101325,11.22,1987,3,3.0
44242,B1 Eu1 Rh3,73.24,1,465.9945,293.00,0.101325,10.56,1984,3,3.0
44243,B2 Eu1 Rh3,78.95,1,476.8055,293.00,0.101325,10.03,1980,3,3.0
190261,Rh1 Si1 U1,215.85,4,367.1905,80.00,0.101325,11.30,1996,3,1.0
416379,Eu2 Ga9 Rh3,963.70,4,1234.6235,293.00,0.101325,8.51,2006,3,3.0
68677,As1.91 Rh1.55 U1,2584.33,32,537.7927,293.00,0.101325,11.06,1988,3,1.55
246915,In5 Pr1 Rh1,162.06,1,816.0845,293.00,0.101325,8.36,2005,3,1.0
50036,Bi1.946 O6.825 Rh2,1085.20,8,718.0173,293.00,0.101325,8.79,1997,3,2.0
418624,Bi6 O29 Rh12,2285.42,4,2930.7450,173.00,0.101325,8.52,2007,3,12.0
418623,Bi6 O29 Rh12,2289.54,4,2930.7450,296.00,0.101325,8.50,2007,3,12.0
97374,Ho2 Rh1 Si3,441.89,4,515.1925,293.00,0.101325,7.74,2003,3,1.0
434045,Er1 Pb1 Rh1,188.63,3,475.5245,293.00,0.101325,12.56,2018,3,1.0
97373,Ho2 Rh1 Si3,441.89,4,515.1925,293.00,0.101325,7.74,2003,3,1.0
648731,Pd2 Rh15 S15,979.18,2,2209.8775,293.00,0.101325,7.50,1963,3,15.0
97376,Er2 Rh1 Si3,437.85,4,519.8525,293.00,0.101325,7.89,2003,3,1.0
434043,La1 Pb1 Rh1,213.07,3,447.1745,293.00,0.101325,10.46,2018,3,1.0
97375,Er2 Rh1 Si3,437.85,4,519.8525,293.00,0.101325,7.89,2003,3,1.0
434044,Lu1 Pb1 Rh1,185.10,3,483.2345,293.00,0.101325,13.01,2018,3,1.0
97378,Ho2 Rh1 Si3,443.60,4,515.1925,10.00,0.101325,7.71,2003,3,1.0
648734,Pd2.25 Rh0.75 Ta1,236.66,4,496.1559,293.00,0.101325,13.93,1965,3,0.75
199801,B2 Rh3.5 Tb0.5,75.82,1,454.8428,293.00,0.101325,9.96,1983,3,3.5
97377,Ho2 Rh1 Si3,443.60,4,515.1925,10.00,0.101325,7.71,2003,3,1.0
648735,Pd1.5 Rh1.5 Ta1,357.35,6,492.1618,293.00,0.101325,13.72,1965,3,1.5
97380,Er2 Rh1 Si3,438.61,4,519.8525,8.00,0.101325,7.87,2003,3,1.0
648732,Pd2.4 Rh1.6 Se8,227.99,1,1048.7592,293.00,0.101325,7.64,1979,3,1.6
434042,Pb1 Rh1 Yb1,186.57,3,481.3045,293.00,0.101325,12.85,2018,3,1.0
97379,Er2 Rh1 Si3,438.61,4,519.8525,8.00,0.101325,7.87,2003,3,1.0
648736,Pd2.07 Rh0.18 Ta0.75,359.09,8,374.1539,293.00,0.101325,13.84,1965,3,0.18
102802,Pb2 Rh1,259.73,4,515.4545,293.00,0.101325,13.18,1972,2,1.0
199798,Rh1 Zr2,236.39,4,283.5145,293.00,0.101325,7.97,1985,2,1.0
199797,Rh1 Zr2,1970.05,32,283.5145,293.00,0.101325,7.65,1985,2,1.0
433745,Cd3 Er10 Rh1,754.49,2,2110.8745,293.00,0.101325,9.29,2018,3,1.0
102807,Rh1 Zr2,236.52,4,283.5145,293.00,0.101325,7.96,1972,2,1.0
429511,Ga2 Rh2 Sr1,809.72,8,429.2090,293.00,0.101325,7.04,2015,3,2.0
656946,La7 Rh3,586.43,2,1275.5935,293.00,0.101325,7.22,1992,2,3.0
656947,La3 Rh2,1186.25,9,618.8790,293.00,0.101325,7.80,1992,2,2.0
420085,Li1 Rh2 Si2,133.82,2,265.2600,293.00,0.101325,6.58,2009,3,2.0
174334,Eu1 Ga8 Rh2,761.33,4,911.8690,293.00,0.101325,7.96,2009,3,2.0
644657,N1 Rh2 Zr4,1879.08,16,581.0360,293.00,0.101325,8.22,1967,3,2.0
656950,La1 Rh1,188.59,4,239.9845,293.00,0.101325,8.45,1992,2,1.0
656951,La1 Rh2,447.35,8,341.0590,293.00,0.101325,10.13,1992,2,2.0
656948,La4 Rh3,719.56,4,858.8635,293.00,0.101325,7.93,1992,2,3.0
406636,Bi7 Br8 Rh1,2133.72,4,2203.1345,293.00,0.101325,6.86,1997,3,1.0
656949,La5 Rh4,896.13,4,1098.8480,293.00,0.101325,8.14,1992,2,4.0
44310,B1 Gd1 Rh3,73.14,1,471.2845,293.00,0.101325,10.70,1984,3,3.0
44311,B2 Gd1 Rh3,78.78,1,482.0955,293.00,0.101325,10.16,1980,3,3.0
423707,Ce2 Rh3 Sb4,812.68,4,1070.4635,295.00,0.101325,8.75,2011,3,3.0
50083,Rh1 Si1 U1,215.90,4,367.1905,80.00,0.101325,11.30,1997,3,1.0
13044,Al3.03 Rh2.97 Y14,2119.44,4,1626.6107,293.00,0.101325,5.10,2019,3,2.97
198917,H2.2 Hf2 Rh1,2079.02,32,460.2721,293.00,0.101325,11.76,1980,3,1.0
420582,O15 Pb3 Rh7,1233.22,4,1569.0765,293.00,0.101325,8.45,2009,3,7.0
420583,Bi0.96 O15 Pb2.04 Rh7,1220.36,4,1570.7949,268.00,0.101325,8.55,2009,4,7.0
264461,Nb0.4 Pd0.4 Rh0.4 Sc0.4 Zr0.4,35.31,1,174.6258,296.00,0.101325,8.21,2018,5,0.4
153220,Co0.53 O2 Rh0.47,167.89,2,110.7359,293.00,0.101325,2.19,2005,3,0.47
264460,Nb0.37 Pd0.45 Rh0.45 Sc0.37 Zr0.37,34.91,1,178.1268,296.00,0.101325,8.47,2018,5,0.45
15531,H10 Cl5 N2 O1 Rh1,951.11,4,332.4175,293.00,0.101325,2.32,1981,5,1.0
86497,As1 O4 Rh1,59.14,1,239.9905,293.00,0.101325,6.74,1981,3,1.0
656982,Al1 Rh1 U1,170.56,3,366.0845,300.00,0.101325,10.69,1992,3,1.0
86502,Ge5 La2 Rh3,745.54,4,943.9935,293.00,0.101325,8.41,1989,3,3.0
186989,Ba8 Rh2.74 Si42.61,1107.75,1,2572.4086,295.00,0.101325,3.86,2012,3,2.74
193819,Al4 Ce1 Rh1 Si2,143.78,1,405.2865,293.00,0.101325,4.68,2015,4,1.0
632414,Fe1 La1 Rh1 Si2,171.36,2,352.0065,293.00,0.101325,6.82,1989,4,1.0
252871,Cd15 Rh2,1347.58,4,1888.1490,273.00,0.101325,9.31,2016,2,2.0
197427,Rh3 Ti1,55.87,1,351.1235,293.00,0.101325,10.44,1966,2,3.0
99726,La1 Mn0.9 O3 Rh0.1,358.67,6,246.4605,673.00,0.101325,6.85,2004,4,0.1
99725,La1 Mn0.9 O3 Rh0.1,238.08,4,246.4605,473.00,0.101325,6.88,2004,4,0.1
99728,La1 Mn0.9 O3 Rh0.1,364.21,6,246.4605,1073.00,0.101325,6.74,2004,4,0.1
99727,La1 Mn0.9 O3 Rh0.1,361.27,6,246.4605,873.00,0.101325,6.80,2004,4,0.1
406932,Cl1 Rh1 Te1,275.34,4,264.1245,293.00,0.101325,6.37,1997,3,1.0
238008,Ba1 Ge4 Rh2 S6,1024.28,4,822.2330,293.00,0.101325,5.33,2014,4,2.0
423049,Ce8 Rh16.589 Sb13.666,3220.41,4,4461.5204,293.00,0.101325,9.20,2011,3,16.589
23398,H62 Cl22 N18 O4 Rh4 Sn6,2925.03,2,2274.9560,293.00,0.101325,2.58,1980,6,4.0
163650,C6 H18 As6 Br3 O6 Rh1,1107.66,2,976.4985,293.00,0.101325,2.93,2005,6,1.0
172204,La2.47 Na1.53 O6 Rh1,893.71,6,575.3509,294.00,0.101325,6.41,2006,4,1.0
163648,C6 H18 As6 Cl6 O6 Rh2,1227.80,2,1050.5730,293.00,0.101325,2.84,2005,6,2.0
163649,C6 H18 As6 Br6 O6 Rh2,1303.65,2,1317.2730,293.00,0.101325,3.36,2005,6,2.0
153274,Fe3 N1 Rh1,56.15,1,282.6315,293.00,0.101325,8.36,2005,3,1.0
50158,Ba1 Rh2 Si2,402.88,4,395.6610,293.00,0.101325,6.52,1997,3,2.0
99748,La1 Mn0.9 O3 Rh0.1,243.51,4,246.4605,373.00,0.101325,6.72,2004,4,0.1
99747,La1 Mn0.9 O3 Rh0.1,243.35,4,246.4605,300.00,0.101325,6.73,2004,4,0.1
172206,Na1.55 Nd2.45 O6 Rh1,853.12,6,586.0910,294.00,0.101325,6.84,2006,4,1.0
99750,La1 Mn0.9 O3 Rh0.1,244.41,4,246.4605,573.00,0.101325,6.70,2004,4,0.1
172205,Na1.55 O6 Pr2.45 Rh1,859.07,6,577.9325,150.00,0.101325,6.70,2006,4,1.0
99749,La1 Mn0.9 O3 Rh0.1,243.95,4,246.4605,473.00,0.101325,6.71,2004,4,0.1
