ID,SumFormula,CellVolume,FormulaUnitsPerCell,FormulaWeight,Temperature,Pressure,Density,Year,NumElements,NumVanadium
416841,H22 N4 O16 Te2 V2,817.80,2,691.2680,293.00,0.101325,2.81,2007,5,2.0
72652,H1 Li1 O5.5 P1 V1,427.14,4,177.8515,293.00,0.101325,2.77,1993,5,1.0
52299,Sb0.2 Si0.8 V3,107.24,2,199.6388,293.00,0.101325,6.18,1977,3,3.0
240768,C2 H28 Co1 N6 O20 V4,1138.94,2,718.9580,293.00,0.101325,2.10,2007,6,4.0
240769,C2 H28 N6 Ni1 O20 V4,1135.81,2,718.7380,293.00,0.101325,2.10,2007,6,4.0
72655,Cu1 P2 S6 V1,392.76,2,368.8140,20.00,0.101325,3.12,1993,4,1.0
72659,O8 P0.3 Pb3 V1.7,583.19,3,845.4510,585.00,0.101325,7.22,1993,4,1.7
72660,O8 P0.7 Pb3 V1.3,567.11,3,837.4630,85.00,0.101325,7.36,1993,4,1.3
72661,O8 P0.7 Pb3 V1.3,567.67,3,837.4630,300.00,0.101325,7.35,1993,4,1.3
72662,O8 P0.7 Pb3 V1.3,574.03,3,837.4630,585.00,0.101325,7.27,1993,4,1.3
72663,O8 P1 Pb3 V1,560.93,3,831.4720,5.00,0.101325,7.38,1993,4,1.0
72664,O8 P1 Pb3 V1,562.88,3,831.4720,300.00,0.101325,7.36,1993,4,1.0
97313,H6 O8 S1 V1,633.47,4,217.0440,293.00,0.101325,2.28,2003,4,1.0
72665,O8 P1.5 Pb3 V0.5,738.70,4,821.4870,85.00,0.101325,7.39,1993,4,0.5
72666,O8 P1.5 Pb3 V0.5,552.80,3,821.4870,300.00,0.101325,7.40,1993,4,0.5
607714,Al1 Fe2 V1,191.10,4,189.6200,293.00,0.101325,6.59,1989,3,1.0
428285,S4 V1,830.32,8,179.1960,150.00,0.101325,2.87,2015,2,1.0
53,B50 V1.54,391.42,1,618.9976,293.00,0.101325,2.63,1976,2,1.54
402709,Te4 V4.64,368.57,2,746.7616,293.00,0.101325,6.73,1997,2,4.64
97336,Cr1 Nb1 V1,354.79,8,195.8500,295.00,0.101325,7.33,2003,3,1.0
