#ACCESSION: EQ362904
#RECORD_TITLE: delta9-Tetrahydrocannabinol; LC-ESI-QFT; MS2; CE: 60; R=35000; [M+H]+
#DATE: 2015.08.25
#AUTHORS: Stravs M, Schymanski E, Singer H, Department of Environmental Chemistry, Eawag and homaidis N, University of Athens
# m/z int. rel.int.
  51.0227 12160.6 2
  53.0023 89871.8 15
  53.0386 113723.5 19
  53.9975 10419.8 1
  55.0179 117173.8 20
  55.0543 651602.5 111
  57.0335 45635.3 7
  57.0699 246366.7 42
  59.0491 21405.1 3
  65.0386 68684.2 11
  67.0543 889332.1 151
  67.9893 21956.8 3
  69.0335 109316.1 18
  69.0699 2077549.9 354
  71.0491 32805.1 5
  71.0855 277211.1 47
  73.0649 8982.1 1
  77.0385 88073 15
  79.0543 1034177.7 176
  80.062 7568.1 1
  81.0699 1927126.2 329
  83.0128 72567.1 12
  83.0492 285105.4 48
  83.0855 75814 12
  85.0284 7260.7 1
  85.0648 6922.8 1
  91.0543 801983.5 136
  92.0621 23018.9 3
  93.07 3032225.5 517
  94.0778 9072.6 1
  95.0492 501991.8 85
  95.0856 513293.9 87
  97.0284 42699.3 7
  97.0648 138082.2 23
  97.1012 169452.4 28
  99.0804 19757.8 3
  101.0598 25697.4 4
  103.0543 32645.3 5
  105.0448 132622.1 22
  105.07 423101.3 72
  107.0492 380067.3 64
  107.0856 1832386.6 312
  108.0569 6344.9 1
  109.0286 35023.6 5
  109.0649 533556.1 91
  109.1013 669414.1 114
  111.0441 274863.2 46
  111.1168 32747.8 5
  115.0541 22925.7 3
  117.0699 83359 14
  119.0493 48198.3 8
  119.0605 53614.2 9
  119.0856 352768.1 60
  120.0934 45859.5 7
  121.0649 447206.9 76
  121.1013 441064.7 75
  123.0441 5850199 999
  124.052 40736.1 6
  125.0598 83457.3 14
  128.0621 10722.3 1
  129.0698 47174.6 8
  131.0493 20296.4 3
  131.0856 145917.8 24
  133.0285 7243.5 1
  133.0649 126197 21
  133.1013 105098.5 17
  135.0442 170687.5 29
  135.0805 151241.9 25
  135.1169 730008.2 124
  136.0517 45390.7 7
  136.1248 26756.6 4
  137.0598 800296.9 136
  139.1119 78435.3 13
  142.0777 25068 4
  143.0857 89631.8 15
  144.0936 6523.3 1
  145.0649 86865.3 14
  145.1012 63432.1 10
  147.0442 114099.1 19
  147.0805 126255.6 21
  147.0917 9020.5 1
  147.117 81354 13
  148.0519 9918.4 1
  149.0599 145130 24
  149.0962 103242.5 17
  149.1325 30000.8 5
  151.0755 170569.7 29
  155.0705 6365 1
  155.0858 7612.2 1
  156.0939 6326.7 1
  157.065 18284.5 3
  157.1014 54655.5 9
  159.0806 172200.7 29
  159.1172 50900.4 8
  160.0518 49278.4 8
  160.0886 9736.6 1
  161.0599 256016.5 43
  161.0962 138611 23
  162.0677 28567.9 4
  163.0755 170191.5 29
  163.1116 54991.4 9
  165.0912 379245.4 64
  165.1275 47170.6 8
  170.0728 8695.6 1
  171.0805 128930.5 22
  171.1169 9587 1
  172.0882 9389.7 1
  173.0593 9763.3 1
  173.0964 30277 5
  173.1326 8699.3 1
  174.0678 90271.7 15
  175.0756 133252.6 22
  175.112 71823 12
  176.0835 9487.7 1
  177.0912 163154.2 27
  177.1276 356352.2 60
  179.1067 22671.2 3
  181.1224 83885.8 14
  184.0885 25477.3 4
  185.0963 65247.2 11
  187.0753 23909.6 4
  187.1113 8896.9 1
  188.0834 78005.7 13
  189.0912 162156.2 27
  189.1275 48395.9 8
  191.1066 23447.1 4
  191.1431 48231.6 8
  193.1225 3824370 653
  197.096 9219.1 1
  199.1121 10914.3 1
  199.1484 26226.6 4
  201.0911 30276.3 5
  201.1276 5973.4 1
  202.099 55195.2 9
  203.1068 31127.3 5
  203.1432 23841.1 4
  205.1225 56343.1 9
  205.1589 32712.8 5
  207.1382 219158.2 37
  211.1117 30620.6 5
  213.1635 7783.9 1
  215.107 5989.8 1
  215.1429 20822.4 3
  217.1225 453313.1 77
  218.1302 11038.3 1
  219.1381 35048.8 5
  221.154 59575.5 10
  225.1275 9329 1
  226.1358 36148.6 6
  227.1431 32062.1 5
  229.122 27301.8 4
  229.1586 29027.1 4
  231.1382 664559.6 113
  231.1748 34616.9 5
  233.1537 175027.1 29
  235.1694 89809.7 15
  241.1588 89676.9 15
  243.1383 8348.3 1
  244.1459 48120 8
  245.1538 94003.6 16
  247.1695 114041.4 19
  255.1744 24132.2 4
  259.1695 465012.6 79
  315.2319 8363.1 1
