#ACCESSION: EA261209
#RECORD_TITLE: Dexamethasone; LC-ESI-ITFT; MS2; CE: 30%; R=15000; [M+H]+
#DATE: 2014.01.14
#AUTHORS: Stravs M, Schymanski E, Singer H, Department of Environmental Chemistry, Eawag
# m/z int. rel.int.
  95.0854 4526.8 77
  97.0648 2433.2 41
  107.0855 8353.4 142
  109.1015 2004.3 34
  119.0855 4486.5 76
  121.0648 6116.7 104
  121.1011 2531.6 43
  123.0806 4247.1 72
  125.0599 4315.7 73
  131.0852 2802.6 47
  133.1009 2141.8 36
  135.0805 8628.8 146
  147.0804 38602.7 657
  149.096 12079.9 205
  153.091 5864.4 99
  159.0805 9943.5 169
  161.0962 9001.8 153
  167.1071 4379.7 74
  171.0804 19589.1 333
  173.0959 15955.9 271
  177.0914 6973.6 118
  185.0962 11944 203
  187.0751 6295.3 107
  187.112 5652 96
  197.096 4906.5 83
  199.1127 3848.5 65
  209.0966 2327.1 39
  211.1115 11883 202
  213.1273 9091.2 154
  215.1063 4154 70
  221.0969 3274.5 55
  223.1115 11971.5 203
  225.1271 6755.9 115
  227.143 5575.7 94
  235.1116 9124.1 155
  237.1273 58675.4 999
  239.1071 2831.4 48
  239.1429 19409.5 330
  241.1224 8664.3 147
  249.1269 4754.1 80
  251.1419 3425.2 58
  253.1219 9130.7 155
  253.1583 5269.1 89
  255.138 7784.2 132
  261.1269 4446.1 75
  263.1429 7632.3 129
  265.1581 2568.2 43
  267.1378 7205.1 122
  267.1744 4908.8 83
  275.143 7897.8 134
  277.1586 24132.3 410
  278.1667 7552.1 128
  279.1742 45487.6 774
  281.1541 2011.5 34
  281.1904 3329.9 56
  289.159 9588.3 163
  291.1743 31426.3 535
  295.1687 9633.5 164
  297.1847 6600.2 112
  301.1588 10990.2 187
  307.1688 11399 194
  309.1848 16337.1 278
  319.1694 28691.5 488
  325.1807 5828.6 99
  327.1961 4308.9 73
  337.18 32810 558
  355.1904 47348.5 806
