# Fast Atom Bombardment calibration compound
# 1:1:1 molar mixture of Cesium Iodide/Rubidium Iodide/Sodium Iodide is a 10% solution in water
#   m/z       Rel. Abundance    
    22.900         60.00       
    45.980          0.20       
    84.912        99.99       
   107.901          0.30       
   132.905        98.99       
   155.895          0.30       
   172.884          5.00       
   217.817          1.00       
   234.806          1.00       
   265.811          2.00       
   282.800          1.00       
   296.728          3.00       
   322.778          1.00       
   344.722          5.00       
   392.715          7.00       
   432.694          0.01       
   472.673          0.01       
   508.544          0.30       
   542.610          0.60       
   556.540          0.20       
   582.588          0.30       
   604.532          0.30       
   622.567          0.01       
   652.525          0.50       
   722.358          0.02
   770.352          0.01
   816.348          0.01 
   864.32           0.01
   912.335          0.02
   934.174          0.01
   982.168          0.01
  1030.162          0.01
  1072.250          0.01
  1124.151          0.01
  1172.145          0.01
  1335.968          0.01
  1372.038          0.01
  1431.955          0.01
  1521.932          0.01
  1595.778          0.01
  1643.771          0.01
  1691.795          0.01
  1821.721          0.01
  1903.581          0.01
  1971.615          0.01
  2121.509          0.01
  2163.391          0.01
  2211.385          0.01
  2471.195          0.01
