#Mass Spec Calibration Spectra for FC-43 (Perfluorotributylamine)
#Methane Negative Ion CI Spectra for FC-43
# m/z  Rel. Abundance        
214       1.51             
219       2.80             
226       1.77             
231       2.60             
233       2.40             
245       2.50             
264      10.31             
269       3.31             
281       5.87             
283      11.79             
295       3.30             
296       1.59             
300       1.39             
302      58.19             
303       3.09             
312       8.02             
314       3.62             
319       2.34             
326       1.22             
331       4.82             
333      20.89             
334       1.48             
343       1.02             
345       1.18             
350       3.72             
352      11.20             
362       1.36             
364       7.19             
369       2.02             
376       3.71             
381       3.12             
383      11.28             
393       1.12             
395       3.13             
402       4.88             
414      34.39             
415       2.84             
419       1.55             
426       6.64             
431       1.88
433      20.05
434       2.00
443       1.24
445      22.50
446       2.13
452     100.00
454       1.09
464      11.07
465       1.57
476       5.38
481       1.18
483      55.17
484       5.72
493       1.24
495       2.22
502       1.97
514      28.59
515       3.31
526       2.84
533       9.43
534       1.19
538       1.69
545       2.36
552       1.12
557       8.88
558       1.37
565       9.67
565       1.40
576       2.33
583       6.46
595      58.89
605       1.18
614       1.53
633     100.00
634      19.01
635       1.29
645       1.57
655       1.05
683       3.56
