# EI Positive Ion Spectra for FC-70
# Perfluorotripentylamine
# m/z  Rel. Abundance        
 50        0.8            
 69      100.0            
 70        1.2            
 93        1.1            
100        9.1            
114        3.5            
119       10.9            
120        0.6            
131       14.0            
132        0.4            
151        1.2            
169        3.3
181       14.0
182        0.6
219        0.8
231        0.8
269       19.8
270        1.1
314        3.3
364        0.2
514        0.8
526        0.4
564        0.8
602        0.4            
