# ACCESSION: LU096106
# RECORD_TITLE: Melatonin; LC-ESI-QFT; MS2; CE: 90; R=17500; [M+H]+
# DATE: 2020.08.19
# AUTHORS: Kondić, T.;Singh, R.;Elapavalore, A.;Schymanski, E.
# m/z int. rel.int.
  72.0444 23066.8 23
  77.0385 2680.5 2
  78.0464 16903.3 17
  79.0541 2993.2 3
  80.0494 8307.9 8
  86.06 4965.7 5
  91.0542 58978.1 60
  95.0492 8692.3 8
  103.0542 20474.5 21
  104.0494 12015.2 12
  104.0621 22912.5 23
  105.0574 11866.2 12
  106.0651 5730.2 5
  107.0493 7349.1 7
  108.0569 7114.2 7
  115.0543 164478.9 169
  116.0495 20361.2 20
  116.0621 24330.5 25
  117.0574 38812.2 39
  117.0699 36369.5 37
  118.0652 12120.7 12
  120.0444 8672.4 8
  121.0521 4912.8 5
  121.0648 2495 2
  128.0495 6286.1 6
  128.0621 10788.2 11
  129.0703 5647.6 5
  130.0652 802531.6 826
  131.073 969964.9 999
  132.0445 21309.8 21
  132.0569 28196.7 29
  133.0522 18149.6 18
  134.0601 20523.5 21
  137.0473 17885.2 18
  140.0493 9652.3 9
  141.0573 8800.3 9
  142.0653 50062.8 51
  143.073 473428.7 487
  144.0444 6182.3 6
  144.0808 37543.4 38
  145.065 9509.7 9
  145.0884 3315.4 3
  146.06 16854.2 17
  147.068 20348.8 20
  147.0802 12355.9 12
  154.0652 13959 14
  155.0606 11115.9 11
  155.0728 13397.7 13
  156.0811 2482.2 2
  158.0602 92254.2 95
  159.0679 711978.2 733
  160.0758 14744.3 15
  162.091 2455.1 2
  167.0729 3525.9 3
  168.0806 3464.6 3
  172.0757 5419.8 5
  173.0836 21651.8 22
  174.0914 84385.2 86
  183.068 12439.3 12
  186.0551 5475 5
