#ACCESSION: NA003669
#RECORD_TITLE: (-)-Strychnine; LC-ESI-ITFT; MS2; CE: 85%; R=15000; [#M+H]+
#DATE: 2020.02.22
#AUTHORS: Tobias Schulze, Martin Krauss, Helmholtz Centre for #Environmental Research GmbH - UFZ, Leipzig, Germany
# m/z int. rel.int.
  67.0543 1162.8 12
  68.0497 986.6 10
  77.0387 1497.6 16
  79.0543 3884.2 42
  81.07 4573.5 49
  91.0542 5231.7 57
  93.0573 1833.4 20
  93.07 4035.7 44
  94.065 2982.3 32
  95.0492 1770.8 19
  95.0854 1132.1 12
  96.081 2817.8 30
  105.0699 2536.9 27
  106.0651 5353.8 58
  107.0859 1026.2 11
  108.0809 7046.7 76
  117.0697 1059.6 11
  118.0654 1271.4 13
  120.0807 1366 14
  121.0646 2230.4 24
  122.0601 3836.2 41
  124.0757 3571.7 38
  129.0699 12800.3 139
  130.0653 6632.9 72
  132.0808 1128.2 12
  143.0732 1562.8 17
  144.0809 18412.8 200
  154.0651 3465 37
  155.073 1283.7 14
  156.0809 64841.3 707
  166.0652 2495.6 27
  167.0732 3388.9 36
  168.0809 10248 111
  169.0761 2663.4 29
  170.0598 2173.8 23
  170.0966 4411.6 48
  171.0919 3135.1 34
  180.0808 3764.3 41
  181.088 2387.7 26
  182.0965 6379.3 69
  183.068 2304.1 25
  184.0758 91567.7 999
  192.0809 1359.9 14
  193.0894 1714.8 18
  194.0603 2894 31
  194.0966 14359.8 156
  196.0759 4756.5 51
  198.0913 7550.3 82
  204.0804 3567.9 38
  205.0886 2318.3 25
  206.0962 5849.7 63
  207.105 1505.9 16
  208.112 1512 16
  210.0907 1995.4 21
  217.0883 3642.7 39
  218.0967 4898.1 53
  219.1048 2414 26
  220.0758 11875.5 129
  220.1119 8016.1 87
  221.0841 1786 19
  222.0913 14859.3 162
  222.1279 2872.2 31
  230.0974 1790.7 19
  231.1051 1575.5 17
  232.1125 3042 33
  234.0912 8132.7 88
  234.1277 2126.1 23
  244.1111 2227.1 24
  246.0911 3897.6 42
  246.1274 2009.1 21
  248.1075 4137.9 45
  262.1225 5067.4 55
  264.1021 6613.8 72
  272.1078 2869 31
  335.1756 20680.3 225
