# Simulations of the radioactive decay of 500 14C nuclei.
# Columns are time in years followed by 15 decay simulations.
0,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500
314,484,485,483,486,480,484,475,479,490,487,482,483,478,483,482
629,460,461,476,467,459,459,463,461,470,467,467,467,461,463,459
944,436,435,459,454,438,445,447,439,445,447,454,448,442,442,434
1259,415,424,444,434,424,426,430,425,426,430,441,431,428,427,414
1574,398,403,428,414,405,412,412,403,414,419,420,412,407,420,403
1888,381,391,407,403,385,402,391,386,403,401,404,391,397,405,387
2203,370,378,397,386,368,385,375,372,393,380,390,373,387,389,378
2518,354,366,382,372,354,365,362,363,379,360,370,356,369,373,364
2833,338,362,372,359,335,345,349,355,364,337,351,337,356,368,343
3148,322,352,352,344,319,332,333,340,349,326,344,314,342,348,326
3462,310,340,340,331,307,315,324,326,334,309,332,302,319,335,318
3777,302,329,330,319,298,300,309,317,324,298,323,294,305,315,306
4092,290,316,315,308,289,287,291,304,309,291,311,280,296,304,296
4407,280,305,296,291,277,277,279,295,293,280,292,275,280,296,288
4722,274,299,281,287,268,263,270,286,286,269,280,266,265,283,272
5037,260,291,265,271,258,251,259,278,278,260,275,255,257,266,261
5351,257,281,255,263,246,245,245,269,265,250,266,241,242,256,252
5666,256,272,243,257,238,234,231,261,256,237,257,229,232,247,243
5981,241,258,235,248,226,226,227,251,249,230,249,220,224,236,232
6296,234,245,223,236,220,215,208,239,239,224,239,214,213,226,224
6611,224,237,216,229,210,208,197,231,228,215,228,203,206,218,218
6925,223,230,207,222,203,203,190,227,214,206,221,196,199,209,213
7240,207,219,197,212,197,193,181,219,205,204,213,185,186,202,204
7555,196,209,190,207,190,188,175,208,198,198,208,177,181,195,197
7870,187,203,179,202,181,181,172,201,194,189,205,173,176,190,188
8185,178,188,173,189,175,168,160,193,184,183,196,172,169,180,183
8500,173,183,164,181,170,161,153,184,181,178,186,163,164,175,175
8814,162,177,161,170,165,155,149,176,178,175,177,159,157,168,167
9129,153,170,158,165,159,148,145,169,173,170,170,151,153,163,162
9444,148,160,152,160,155,143,139,163,167,163,164,145,149,156,152
9759,140,153,146,148,150,139,130,159,164,157,155,139,147,155,147
10074,135,145,143,140,142,135,119,157,155,151,150,131,141,150,146
10388,133,140,140,133,136,130,116,152,151,144,147,127,135,144,142
10703,124,135,136,129,133,127,115,149,145,141,139,122,133,141,139
11018,123,132,131,122,129,121,109,147,142,134,135,119,131,135,137
11333,117,127,128,117,126,117,103,141,140,131,129,116,127,128,131
11648,111,126,124,115,121,115,99,134,132,126,126,109,121,122,130
11962,103,119,119,113,114,107,97,129,129,122,121,104,119,120,122
12277,100,116,116,109,108,104,96,120,119,116,118,100,115,117,116
12592,92,111,112,104,103,98,93,115,112,112,113,96,110,116,112
12907,90,106,108,101,98,92,92,115,107,107,111,94,105,112,108
13222,87,99,104,97,96,89,85,111,101,104,105,91,101,106,104
13537,84,97,101,94,93,86,84,107,100,100,102,86,95,101,100
13851,79,90,99,93,87,83,81,99,95,100,97,80,93,98,100
14166,75,89,96,91,84,81,78,97,90,93,95,78,92,95,98
14481,73,87,93,87,80,77,74,93,85,91,92,75,86,94,93
14796,70,82,89,81,78,75,71,92,82,87,90,72,84,89,91
15111,69,78,86,78,72,72,68,87,79,85,86,68,77,84,87
15425,66,75,85,72,69,70,66,85,75,80,83,65,76,81,84
15740,63,71,81,69,65,69,64,81,74,78,77,61,74,78,79
16055,57,64,80,66,64,66,62,76,70,73,75,59,71,75,75
16370,54,61,78,65,61,63,60,74,66,70,72,56,69,72,75
16685,53,60,75,63,56,60,58,72,66,69,69,54,68,70,70
17000,48,57,73,63,56,57,58,70,64,68,64,52,65,69,67
