# Cesium Iodide calibration compound 
#  m/z       Rel. Abundance     
   132.905         100.00      
   392.715          12.00      
   652.525           2.00      
   912.335           0.70      
  1172.145           0.40      
  1431.955           0.20      
  1691.765           0.10      
  1951.548           0.05      
  2211.385           0.04      
  2471.195           0.06      
  2731.004           0.03
  2990.814           0.01
  3250.624           0.01
  3510.434           0.01
  3770.244           0.02
  4030.054           0.01
  4289.864           0.01
  4549.674           0.01
  4809.484           0.01
  5069.294           0.01
  5329.104           0.01
