# ACCESSION: JP009697
# RECORD_TITLE: BETA-ESTRADIOL; EI-B; MS
# DATE: 2016.01.19 (Created 2008.10.21, modified 2011.05.06)
# AUTHORS: HASHIMOTO K, KYOTO COLLEGE OF PHARMACY
# m/z int. rel.int.
  58 1.91 19
  84 1.22 12
  93 1.26 13
  95 1.18 12
  107 3.05 31
  108 1.76 18
  120 2.51 25
  121 2.79 28
  131 1.03 10
  133 8.03 80
  134 1.93 19
  144 1.66 17
  145 5.53 55
  146 15.65 157
  147 5.34 53
  157 3.25 33
  158 5.73 57
  159 10.46 105
  160 20.35 204
  161 2.88 29
  170 1.19 12
  171 2.87 29
  172 17.92 179
  173 4.45 45
  175 3.02 30
  183 1 10
  185 5.76 58
  186 10.23 102
  187 2.04 20
  188 2.75 28
  197 1.73 17
  199 3.19 32
  200 1.58 16
  211 1.89 19
  212 1.12 11
  213 26.95 270
  214 5.05 51
  215 3.71 37
  225 1.62 16
  226 2.5 25
  227 1.06 11
  228 3.68 37
  239 1.39 14
  244 3.15 32
  253 1.71 17
  270 1.23 12
  271 1.82 18
  272 99.99 999
  273 19.68 197
  274 2.44 24
