#EI Positive Ion Spectra for FC-43  (Perfluorotributylamine)
#m/z  Rel. Abundance             
 69      100.0             
 70        1.1             
 76        0.7             
 81        0.6             
 93        1.3             
 95        0.6             
100       17.7             
101        0.7             
112        0.8             
113        0.8             
114        7.9             
119       13.0             
131       47.9             
132        1.7             
145        1.0             
150        2.8             
164        1.4             
169        4.0             
176        1.5 
181        1.8
214        1.2
219       50.7
220        2.3
226        1.0
264       13.4
265        0.7
314        1.8
326        0.3
352        0.7
376        0.4
414        3.4
415        0.4
426        0.6
448        0.2
464        1.5
502        2.6
503        0.2            
