# Methane Negative Ion CI Spectra for FC-70
# Perfluorotripentylamine
# mz	Rel. Abundance 
219      1.97             
281      1.50             
314      1.99             
333      4.92             
352      4.96             
383      1.49             
395      1.36             
412      1.50             
414      1.95             
433      4.06             
450      1.17             
452      3.39             
464      1.50             
476      1.87             
483      1.90             
502      3.20             
514     12.87             
515      1.66             
526      1.30
533      4.45
552    100.00
553     11.99
564      4.04
576      1.48
583      1.84
602      3.37
614      7.08
626      2.23
633      1.47
664      4.51
676      1.31
683      1.18
733      1.54
745      4.54
783     14.47
784      2.37
833      1.40
  
