#ACCESSION: LU078806
#RECORD_TITLE: Fluorescein; LC-ESI-QFT; MS2; CE: 90; R=17500; [M+H]+
#DATE: 2020.08.19
#AUTHORS: Kondić, T.;Singh, R.;Elapavalore, A.;Schymanski, E.
# m/z int. rel.int.
  53.0023 7995.9 3
  53.0386 30964.7 11
  55.0178 37747.8 14
  65.0386 140391.3 53
  67.0177 3331.1 1
  68.9971 163866 62
  71.0128 7019.4 2
  77.0384 14825 5
  81.0334 26728.2 10
  91.0542 19588.8 7
  93.0335 6505.4 2
  94.0414 9740.5 3
  95.0128 6989.8 2
  95.0491 74883.2 28
  103.0542 32092 12
  105.0336 67918.1 25
  107.0492 9458 3
  109.0284 3159.2 1
  111.044 10653 4
  115.0542 157518.8 60
  117.0698 28039.8 10
  119.0128 11004 4
  121.0285 12481.2 4
  127.0542 32168 12
  128.0621 70991.9 27
  131.0491 79047.5 30
  133.0284 10139.9 3
  134.0357 3756.3 1
  137.0234 17470.2 6
  139.0542 187125.5 71
  140.062 50502 19
  141.0698 25873.1 9
  143.0492 22556.8 8
  145.0648 54832.6 20
  147.0443 4200.2 1
  152.062 50423.4 19
  153.0699 23589.8 8
  155.0492 130949.5 49
  156.057 12966.4 4
  157.0648 8060.4 3
  159.0438 7250 2
  165.0699 152624.6 58
  167.0491 21269.2 8
  167.0853 7002.7 2
  168.057 120382.6 45
  169.065 21432.3 8
  171.044 34670.3 13
  173.0598 28548.1 10
  176.062 59063.6 22
  177.0698 44446.5 16
  178.0777 181316.9 69
  179.0856 29360.9 11
  181.0647 38035.3 14
  183.044 19772.3 7
  184.0519 112412.6 42
  187.0392 11763.1 4
  187.0544 10394.1 3
  189.0699 667112.1 254
  190.0777 223958.5 85
  191.0855 120130.5 45
  192.0569 10797.7 4
  193.0648 11138.7 4
  194.0726 11669 4
  195.0438 6488 2
  195.0805 6107.2 2
  196.0521 26719 10
  197.0598 14694.6 5
  199.039 21874.7 8
  200.062 49205.3 18
  201.0547 71972.3 27
  201.07 48779.7 18
  202.0777 2621617.5 999
  203.0855 619048.4 235
  204.0934 49952.4 19
  205.0648 183487.3 69
  205.1011 12001.4 4
  206.0727 17828.1 6
  207.0804 31193.9 11
  209.0593 3630 1
  211.0391 12817.5 4
  213.0699 381881.2 145
  214.0777 98799.8 37
  215.0855 752951.3 286
  216.057 8040.9 3
  216.0935 15800.8 6
  217.0648 30523.7 11
  218.0726 227384.5 86
  219.0804 84811.4 32
  220.0519 4830.9 1
  221.0595 34971.9 13
  224.0622 14631.7 5
  225.0701 4702.9 1
  226.0774 24114.9 9
  228.0426 13372.5 5
  229.0496 136496.3 52
  229.0647 131803.5 50
  230.0726 99424.6 37
  231.0805 948340.6 361
  232.0885 30006.4 11
  233.0598 49738.1 18
  233.096 127701.2 48
  234.0674 86746.9 33
  235.0746 16190.2 6
  237.0553 3325.4 1
  241.0645 39267.1 14
  242.0726 284390.2 108
  243.0804 183922.6 70
  244.0883 35890.5 13
  245.0596 77079.9 29
  246.0676 37276.2 14
  247.0753 65588 24
  248.0829 5040.3 1
  249.0543 11852.5 4
  250.0621 9148.1 3
  253.0648 9660.7 3
  255.0814 4545.7 1
  257.0598 24049.3 9
  258.0676 603636.1 230
  259.0754 611449.8 233
  260.0832 124647.5 47
  261.0908 45704.1 17
  262.0622 18243.2 6
  263.0704 11838.4 4
  269.0593 50104.5 19
  270.0673 30618.2 11
  271.0753 380516.2 145
  273.0541 4437.3 1
  274.0623 24463.9 9
  275.0705 12763.9 4
  285.0548 30750.3 11
  286.0624 94299.5 35
  287.0703 921510.4 351
  288.0789 5424.6 2
  289.0858 140538.9 53
  297.0548 6204.6 2
  298.0625 4398.4 1
  299.0702 4219.8 1
  302.0576 11409.6 4
  305.0807 3072.5 1
  313.0481 3738.1 1
  315.0653 52769.6 20
  333.0758 18056.3 6
