# Data Courtesy Dr. Thomas Hartman, Center for Advance Food Technology, Rutgers University, New Brunswick, NJ
# m/z     Rel. Abundance   
  18.01       30.00         
  28.01       50.00         
  31.0         3.80         
  39.96        1.70         
  51.00        6.70         
  69.00      100.00         
  81.00        0.50         
  84.97        1.00         
  93.00        3.30         
  99.99        5.60         
 118.99       26.40         
 130.99       24.00         
 142.99        1.90         
 154.99        1.40         
 168.99       17.00         
 180.99        8.75         
 192.99        8.30         
 204.99        1.50         
 218.99        8.60         
 230.99        8.80         
 242.99        3.80         
 254.99        1.20         
 268.98        4.00         
 280.98        6.00         
 292.98        2.70         
 304.98        1.00         
 318.98        2.00         
 330.98        3.70         
 342.98        1.80         
 354.98        0.80         
 368.98        0.90         
 380.98        2.30         
 392.98        1.10         
 404.98        1.00         
 416.98        0.55         
 430.97        1.85         
 442.97        1.20         
 454.97        0.80         
 466.97        0.50         
 480.97        1.40         
 492.97        1.10         
 504.97        0.65         
 516.97        0.50         
 530.97        0.70         
 542.97        0.60         
 554.97        0.50         
 566.97        0.60         
 580.96        0.70         
 592.96        0.65         
 604.96        0.60         
 616.96        0.50         
 630.96        0.50         
 642.96        0.50         
 654.96        0.55         
 666.96        0.50         
 680.96        0.20         
 692.96        0.25         
 704.96        0.40         
 716.96        0.25         
 730.95        0.20         
 742.95        0.25         
 754.95        0.50         
 766.95        0.20         
 780.95        0.25         
 792.95        0.30         
 804.95        0.15         
 816.95        0.05         
 830.95        0.10         
 842.95        0.10         
 854.95        0.10         
 866.95        0.05         
 880.94        0.10         
 892.94        0.10         
 904.94        0.05         
 916.94        0.05         
 930.94        0.05         
 942.94        0.05         
 954.94        0.05         
 966.94        0.05         
 980.94        0.05         
 992.94        0.05         
 1004.94       0.05         
 1016.94       0.05         
