#ACCESSION: LU027006
#RECORD_TITLE: Quinine; LC-ESI-QFT; MS2; CE: 90; R=17500; [M+H]+
#DATE: 2020.08.19
#AUTHORS: Kondić, T.;Singh, R.;Elapavalore, A.;Schymanski, E.
# m/z int. rel.int.
  51.0231 7643.9 2
  53.0022 113401.5 41
  53.0386 752247.8 273
  53.9975 14729.1 5
  54.0338 26350.4 9
  55.0542 377269.8 137
  56.0495 122182.3 44
  57.0573 9218.6 3
  58.065 12548.5 4
  65.0385 336206.2 122
  66.0463 156558.5 56
  67.0416 106696.6 38
  67.0542 593524.1 215
  68.0494 222335.1 80
  69.0573 67233.4 24
  69.0699 12017 4
  70.0651 60309.5 21
  77.0385 75761.9 27
  78.0464 18790.6 6
  79.0542 2746952 999
  80.0494 533608.9 194
  81.0698 1075384.5 391
  82.0651 408667 148
  83.0729 17982.6 6
  84.0807 33249.1 12
  89.0386 25871.6 9
  91.0542 429018.7 156
  92.0494 19532.9 7
  92.062 7904.8 2
  93.0572 112425.3 40
  93.0698 87661 31
  94.0651 219699 79
  95.0491 475155.8 172
  95.0729 63975 23
  95.0856 36020.3 13
  96.0442 23378.1 8
  96.0808 53673.9 19
  102.0463 46459 16
  103.0542 93534.8 34
  105.0447 182087.6 66
  105.0699 94418 34
  106.0651 166219.4 60
  107.073 46421.4 16
  107.0854 11495.2 4
  108.0807 173118.8 62
  109.0648 12932.6 4
  109.0884 11446.2 4
  110.06 18372.6 6
  110.0964 35382.4 12
  115.0542 377283.9 137
  116.0493 71600.5 26
  117.0572 671470.6 244
  117.0698 44194.2 16
  118.065 65982.8 23
  119.0729 32363.3 11
  120.0807 83260.2 30
  121.0646 12314.4 4
  121.0885 8339.8 3
  122.0963 31438.6 11
  124.0754 6618.3 2
  124.1122 17710.6 6
  128.0495 29734.9 10
  129.0572 269779.1 98
  130.0411 19290.3 7
  130.0651 144320.7 52
  131.0729 230588.3 83
  132.0444 34276.7 12
  132.0808 35935.9 13
  133.0521 26564.7 9
  133.0646 74620.5 27
  134.0963 123679.6 44
  136.112 53886 19
  140.0492 36060.9 13
  141.0572 277034.6 100
  142.0651 266987.1 97
  143.0365 47657.3 17
  143.0729 542644.4 197
  144.0807 167701.1 60
  145.0522 331156.5 120
  145.0647 111540.3 40
  146.06 118515.1 43
  147.0677 16838.3 6
  148.0393 29232.3 10
  153.0573 62120.4 22
  154.065 713248.3 259
  155.0605 37087.7 13
  155.0729 453744.5 165
  156.0683 86562.7 31
  156.0806 100172.3 36
  157.0522 218308.5 79
  157.0885 22794 8
  158.06 371320.3 135
  159.0677 150959.7 54
  160.0756 540845 196
  161.0471 21249.2 7
  162.0908 10120.1 3
  166.0651 138764.2 50
  166.1226 8771.6 3
  167.0729 473650.1 172
  168.0682 113123.4 41
  168.0806 105228.4 38
  169.0521 508619.3 184
  169.0757 53892.9 19
