Rhodamine 6G in methanol,,
Wavelength (nm),Abs,
800,-0.003309203079,
799,-0.004290971905,
798,-0.004792955704,
797,-0.004553615116,
796,-0.004117514472,
795,-0.004748867359,
794,-0.004194689449,
793,-0.00404478889,
792,-0.00427733548,
791,-0.003569616238,
790,-0.003584661055,
789,-0.004515240435,
788,-0.00442280015,
787,-0.004759723321,
786,-0.004345358349,
785,-0.004439096432,
784,-0.003961431328,
783,-0.004080999177,
782,-0.004013345577,
781,-0.004509706981,
780,-0.004334850702,
779,-0.004170897417,
778,-0.003832593095,
777,-0.003679179354,
776,-0.004205764271,
775,-0.003756124061,
774,-0.00423893705,
773,-0.004309169948,
772,-0.004253189545,
771,-0.00353885768,
770,-0.004029913805,
769,-0.004371754825,
768,-0.004499766976,
767,-0.003441586392,
766,-0.004688282963,
765,-0.003841214348,
764,-0.004025656264,
763,-0.00406612549,
762,-0.003817300545,
761,-0.003565200372,
760,-0.003630767576,
759,-0.003525043838,
758,-0.003381898161,
757,-0.003919874784,
756,-0.003288188484,
755,-0.004045917187,
754,-0.003732000012,
753,-0.0036919103,
752,-0.003785481676,
751,-0.003470143536,
750,-0.003584712278,
749,-0.003398490604,
748,-0.003351280466,
747,-0.003482315689,
746,-0.003348814556,
745,-0.003786610672,
744,-0.003635952948,
743,-0.003566227155,
742,-0.004014473874,
741,-0.003761564614,
740,-0.003382771509,
739,-0.003924441058,
738,-0.003689343575,
737,-0.003834286705,
736,-0.003342392622,
735,-0.003512718715,
734,-0.003381178947,
733,-0.004031401128,
732,-0.003979745787,
731,-0.003581631463,
730,-0.003753609024,
729,-0.003381538671,
728,-0.003574648406,
727,-0.003537368495,
726,-0.003211417934,
725,-0.003523965366,
724,-0.003362633986,
723,-0.003567665117,
722,-0.003876210423,
721,-0.0032254986,
720,-0.003134685103,
719,-0.003181661712,
718,-0.003391298931,
717,-0.003140338929,
716,-0.003228684887,
715,-0.003341056872,
714,-0.00326280552,
713,-0.002667262685,
712,-0.003222620813,
711,-0.003200882813,
710,-0.003267584136,
709,-0.003035369795,
708,-0.003326928476,
707,-0.003227451583,
706,-0.003260287456,
705,-0.003037117654,
704,-0.00332821277,
703,-0.003046165919,
702,-0.003159664571,
701,-0.003360424889,
700,-0.003310127882,
699,-0.00343439565,
698,-0.003264655359,
697,-0.003123274306,
696,-0.003149128053,
695,-0.003169069998,
694,-0.003100965638,
693,-0.00288378261,
692,-0.003172667697,
691,-0.003053517547,
690,-0.003239373444,
689,-0.003261418082,
688,-0.003012696747,
687,-0.00345417019,
686,-0.00304452097,
685,-0.003470759839,
684,-0.00359698385,
683,-0.003187674796,
682,-0.003368387697,
681,-0.003054854227,
680,-0.003116694978,
679,-0.002861410379,
678,-0.003195383819,
677,-0.003255817108,
676,-0.002862747526,
675,-0.003207923379,
674,-0.003130161902,
673,-0.003262291662,
672,-0.003214912489,
671,-0.003314957488,
670,-0.003267635591,
669,-0.003154524835,
668,-0.003040459473,
667,-0.00321794441,
666,-0.003120292909,
665,-0.003028017934,
664,-0.00290882797,
663,-0.002948270179,
662,-0.003353900509,
661,-0.00286717061,
660,-0.003442202928,
659,-0.003313467605,
658,-0.002952640876,
657,-0.003069094382,
656,-0.002960714046,
655,-0.003086829558,
654,-0.003215734614,
653,-0.003115255618,
652,-0.003213473596,
651,-0.003240504069,
650,-0.003160384251,
649,-0.003095516935,
648,-0.003173130332,
647,-0.002932277741,
646,-0.003044315148,
645,-0.003420218825,
644,-0.003166089067,
643,-0.003066678066,
642,-0.003077319358,
641,-0.003049301915,
640,-0.003186852671,
639,-0.002912530676,
638,-0.003232693067,
637,-0.002942253835,
636,-0.003237780416,
635,-0.003189268056,
634,-0.003172667697,
633,-0.002935774624,
632,-0.002995215589,
631,-0.00323541672,
630,-0.00323305279,
629,-0.003228479298,
628,-0.003413181519,
