Rhodamine 6G in methanol2,,
Wavelength (nm),Abs,
800,-0.001851398963,
799,-0.002400283935,
798,-0.002635565354,
797,-0.003278837074,
796,-0.002876993967,
795,-0.002163123339,
794,-0.002399563091,
793,-0.002531812061,
792,-0.002326239832,
791,-0.001799947349,
790,-0.001890009502,
789,-0.002783792559,
788,-0.002461497206,
787,-0.0029346433,
786,-0.002134892391,
785,-0.00285482686,
784,-0.003042721422,
783,-0.002524760552,
782,-0.002476528753,
781,-0.002518944209,
780,-0.002364808228,
779,-0.001880627824,
778,-0.001667526783,
777,-0.002039470477,
776,-0.002350441879,
775,-0.002024062909,
774,-0.002749685664,
773,-0.002960405545,
772,-0.002858324442,
771,-0.001701048226,
770,-0.002137828851,
769,-0.002189652529,
768,-0.002529804828,
767,-0.002041325439,
766,-0.002234722953,
765,-0.002379946178,
764,-0.002183522796,
763,-0.002580243628,
762,-0.002054516692,
761,-0.001688000979,
760,-0.002535981359,
759,-0.002061936771,
758,-0.002514363267,
757,-0.002761106472,
756,-0.002129740547,
755,-0.002563208342,
754,-0.002631397219,
753,-0.002646988956,
752,-0.002405226463,
751,-0.002480492461,
750,-0.00264729769,
749,-0.001962633338,
748,-0.002039934276,
747,-0.002251204569,
746,-0.001780612743,
745,-0.001425115042,
744,-0.002263565548,
743,-0.00217337464,
742,-0.002465203637,
741,-0.002145401901,
740,-0.002751332009,
739,-0.0024906334,
738,-0.001689187018,
737,-0.002474881476,
736,-0.002216283232,
735,-0.001952686347,
734,-0.002205208875,
733,-0.002301933244,
732,-0.00250952458,
731,-0.002312232973,
730,-0.002317022067,
729,-0.002013653517,
728,-0.001816703356,
727,-0.002142980695,
726,-0.002130977111,
725,-0.002579626162,
724,-0.002012210665,
723,-0.002130255802,
722,-0.002560531953,
721,-0.00193310075,
720,-0.001826962805,
719,-0.002366867848,
718,-0.002173632151,
717,-0.001810052549,
716,-0.00207852805,
715,-0.001912380452,
714,-0.001941038179,
713,-0.001689548022,
712,-0.002031637821,
711,-0.001994586084,
710,-0.001918514143,
709,-0.002041067928,
708,-0.002037666971,
707,-0.002211647574,
706,-0.00205472298,
705,-0.00204276829,
704,-0.00226418348,
703,-0.001664587064,
702,-0.002041480038,
701,-0.002229520818,
700,-0.00199937867,
699,-0.002048333408,
698,-0.002063018735,
697,-0.001910988707,
696,-0.001964901108,
695,-0.002041428583,
694,-0.002184449928,
693,-0.001819642028,
692,-0.001847274834,
691,-0.00188186497,
690,-0.002225451637,
689,-0.002117942553,
688,-0.002146586776,
687,-0.001900473493,
686,-0.001635188935,
685,-0.00230831909,
684,-0.002160753589,
683,-0.002044880996,
682,-0.002073890762,
681,-0.001856708783,
680,-0.001912277308,
679,-0.001953150146,
678,-0.002108617453,
677,-0.002311511897,
676,-0.001808918314,
675,-0.001836654963,
674,-0.0022041786,
673,-0.002199748764,
672,-0.002114799805,
671,-0.002021950204,
670,-0.002151892986,
669,-0.002048024209,
668,-0.002217467874,
667,-0.001840830781,
666,-0.001953511033,
665,-0.001931915293,
664,-0.0017761786,
663,-0.00171889097,
662,-0.002155602211,
661,-0.001763391308,
660,-0.002045447705,
659,-0.002127010142,
658,-0.001864853781,
657,-0.002212986816,
656,-0.001935729408,
655,-0.001737506362,
654,-0.002049467061,
653,-0.001890370389,
652,-0.002136695432,
651,-0.002090172376,
650,-0.001905421843,
649,-0.001921245945,
648,-0.001806804561,
647,-0.002171365544,
646,-0.001873050234,
645,-0.002083474305,
644,-0.001925369375,
643,-0.001911504194,
642,-0.001978146145,
641,-0.001927740406,
640,-0.002101455815,
639,-0.001759214792,
638,-0.0021506052,
637,-0.001880267053,
636,-0.002057917649,
635,-0.002152768895,
634,-0.001985773444,
633,-0.001711104182,
632,-0.001774270786,
631,-0.001987474272,
630,-0.002133707516,
629,-0.002125310013,
628,-0.001982062822,
627,-0.001892844564,
626,-0.002052352531,
625,-0.002002316294,
624,-0.002077703597,
623,-0.002113872441,
622,-0.001960881054,
621,-0.002008397132,
620,-0.002057299251,
619,-0.001956448657,
618,-0.00213788054,
617,-0.001784685999,
616,-0.001982681453,
615,-0.002017415361,
614,-0.002193567576,
613,-0.001908978447,
612,-0.001890937332,
611,-0.001804123516,
610,-0.001967632445,
609,-0.001990617951,
608,-0.002200109418,
607,-0.001929956721,
606,-0.001791130868,
605,-0.001940471237,
604,-0.002174508059,
603,-0.002162659774,
602,-0.001995926024,
601,-0.001900628093,
600,-0.001780509599,
599,-0.001966653392,
598,-0.002190013183,
597,-0.001994276885,
596,-0.00203782157,
595,-0.001815053518,
594,-0.001939852722,
593,-0.001718994114,
592,-0.002313880716,
591,-0.00192315306,
590,-0.001929698978,
589,-0.00193243078,
588,-0.002364859683,
587,-0.002264234936,
586,-0.001914442168,
585,-0.002093418268,
584,-0.002084350213,
583,-0.00188717444,
582,-0.002277059015,
581,-0.001939079608,
580,-0.002138344105,
579,-0.001910834108,
578,-0.002019837266,
577,-0.001952274004,
576,-0.002012674464,
575,-0.002081773942,
574,-0.001856863499,
573,-0.001721830224,
572,-0.001437344588,
571,-0.0013178722,
570,-0.001729307463,
569,-0.001654839492,
568,-0.001343678916,
567,-0.001072631334,
566,-0.000896953803,
565,-0.0008986070752,
564,-0.0009736180655,
563,-0.0007847226807,
562,-0.0005742885987,
561,-0.000167760445,
560,0.0002463748679,
559,0.0004448710533,
558,0.0008672687109,
557,0.001458298415,
556,0.002233401639,
555,0.003142925911,
554,0.003499895101,
553,0.004574946593,
552,0.005541040562,
551,0.006706409156,
550,0.008285579272,
549,0.009622245096,
548,0.01156311203,
547,0.01325189788,
546,0.01524474751,
545,0.01764710806,
544,0.01975641027,
543,0.02222934552,
542,0.02476220392,
541,0.02743768319,
540,0.03067123331,
539,0.0334129706,
538,0.03669303656,
537,0.03950240836,
536,0.04217331856,
535,0.04468438774,
534,0.04691632092,
533,0.04903370515,
532,0.05063085631,
531,0.05193076655,
530,0.05304693431,
529,0.05352495238,
528,0.05393309146,
527,0.05355484784,
526,0.05295811594,
525,0.05214804783,
524,0.05111541972,
523,0.04976795241,
522,0.04803775996,
521,0.04601750523,
520,0.04412799329,
519,0.04220395908,
518,0.04011220858,
517,0.03803851083,
516,0.03583709151,
515,0.03389660269,
514,0.031993974,
513,0.03021382354,
512,0.02845434472,
511,0.02679366991,
510,0.02502931841,
509,0.02397297882,
508,0.02243321575,
507,0.02151634544,
506,0.02049892396,
505,0.01955977641,
504,0.01855370402,
503,0.01796305366,
502,0.01760292426,
501,0.01727703214,
500,0.01681840979,
499,0.01644092053,
498,0.01632307284,
497,0.01597896405,
496,0.01587259956,
495,0.01579012536,
494,0.01510503236,
493,0.01476986613,
492,0.01445093658,
491,0.0138742812,
490,0.01335546002,
489,0.01301254518,
488,0.01254020445,
487,0.01181781199,
486,0.01133714989,
485,0.01081747375,
484,0.009953274392,
483,0.009418267757,
482,0.008608145639,
481,0.008032889105,
480,0.007495842874,
479,0.006565786898,
478,0.006044278387,
477,0.005545392632,
476,0.004982214887,
475,0.004345243331,
474,0.004241219722,
473,0.003837544471,
472,0.003561040852,
471,0.003308083862,
470,0.002774839057,
469,0.002695831005,
468,0.002493413631,
467,0.002249872312,
466,0.001897542621,
465,0.00207986217,
464,0.001829065848,
463,0.001756337355,
462,0.001436065999,
461,0.001388696255,
460,0.001518144389,
459,0.001286364975,
458,0.001382723451,
457,0.001190235489,
456,0.0008693956188,
455,0.0004565318231,
454,0.0003372179635,
453,0.0002691939299,
452,0.0003658710339,
451,0.000108993605,
450,-0.0003031741653,
449,-0.0005136361578,
448,-0.0002113333903,
447,-0.0002877566149,
446,-0.000464249606,
445,-0.0006862640148,
444,-0.0006272814935,
443,-0.000758572598,
442,-0.0008321092464,
441,-0.001035239315,
440,-0.0009875650285,
439,-0.001178850536,
438,-0.001160572516,
437,-0.00109184254,
436,-0.001052541309,
435,-0.001033431618,
434,-0.001335575827,
433,-0.001214061864,
432,-0.001458603656,
431,-0.0009844657034,
430,-0.001251593349,
429,-0.001283804886,
428,-0.001074129017,
427,-0.001462318702,
426,-0.00214849296,
425,-0.002186458791,
424,-0.00208295905,
423,-0.002055392833,
422,-0.002078630961,
421,-0.001969281817,
420,-0.002038336825,
419,-0.00178386108,
418,-0.002071675146,
417,-0.002171829343,
416,-0.0007959367358,
415,-0.0009229406132,
414,-0.0007688570768,
413,-0.0007946965052,
412,-0.001258717268,
411,-0.0009432432707,
410,-0.000689313747,
409,-0.0007767124334,
408,-0.001308168401,
407,-0.00115076208,
406,-0.001550335903,
405,-0.001171518816,
404,-0.001213287469,
403,-0.001228155917,
402,-0.000903773529,
401,-0.001233060379,
400,-0.0009459296125,
399,-0.0008541729767,
398,-0.0005750124692,
397,-0.0004309428041,
396,-0.0003724946,
