methanol baseline,,
Wavelength (nm),Abs,
800,-0.001113996375,
799,-0.0008304556832,
798,-0.001285353443,
797,-0.0009934018599,
796,-0.001083373209,
795,-0.001761792926,
794,-0.001219069702,
793,-0.0006807848113,
792,-0.0009431916405,
791,-0.000776505738,
790,-0.0005380946677,
789,-0.0006656391197,
788,-0.0008267352241,
787,-0.001252935617,
786,-0.0006286256248,
785,-0.001025632606,
784,-0.00152371591,
783,-0.001539450721,
782,-0.0007539212238,
781,-0.001236880547,
780,-0.0004753685207,
779,-0.001550748595,
778,-0.0006643467932,
777,-0.001158352359,
776,-0.001171570388,
775,-0.001173429191,
774,-0.001152517623,
773,-0.001481461106,
772,-0.001246637548,
771,-0.0006395852542,
770,-0.001258304343,
769,-0.0007693222142,
768,-0.001759111648,
767,-0.0002719763434,
766,-0.001491264207,
765,-0.001621778589,
764,-0.00123750011,
763,-0.000925420376,
762,-0.00106922281,
761,-0.0009862219449,
760,-0.0008877056534,
759,-0.0004886074457,
758,-0.0008099927218,
757,-0.001441937056,
756,-0.0004751099332,
755,-0.001692642341,
754,-0.0009898378048,
753,-0.0007274074596,
752,-0.001308478182,
751,-0.00123290543,
750,-0.0008605800685,
749,-0.0006412912044,
748,-0.0005863353726,
747,-0.0007016157033,
746,-0.0002197680296,
745,-0.001206833986,
744,-0.0008989687776,
743,-0.0009115231223,
742,-0.001383624854,
741,-0.0009721200331,
740,-0.001505142893,
739,-0.001158352359,
738,-0.0005241850158,
737,-0.001010343898,
736,-0.0007580040838,
735,-0.0007057507755,
734,-0.0007525258115,
733,-0.001205078559,
732,-0.001028679893,
731,-0.001199554303,
730,-0.001610276289,
729,-0.0008555680979,
728,-0.0009977924637,
727,-0.0007776943385,
726,-0.0007755237748,
725,-0.001200741739,
724,-0.0008480242104,
723,-0.000948460889,
722,-0.0009564679349,
721,-0.0007503034431,
720,-0.0005927463644,
719,-0.0008377932245,
718,-0.0009601356578,
717,-0.0009092499386,
716,-0.0009856537217,
715,-0.000485814875,
714,-0.0009345127619,
713,-0.0005532964715,
712,-0.0009637516923,
711,-0.0006790790358,
710,-0.000895662175,
709,-0.0007332995301,
708,-0.0008443038678,
707,-0.0009236638434,
706,-0.0008353129379,
705,-0.0005113608786,
704,-0.001004765509,
703,-0.0004655942321,
702,-0.0006603147485,
701,-0.001077485853,
700,-0.0008552063955,
699,-0.0008132999064,
698,-0.0009643199155,
697,-0.0007206883165,
696,-0.0008376898477,
695,-0.0009119364549,
694,-0.0006950512761,
693,-0.0004097885685,
692,-0.00083474454,
691,-0.0007117982022,
690,-0.0008880672976,
689,-0.0009767174488,
688,-0.0008161937003,
687,-0.001006573322,
686,-0.0007357803988,
685,-0.001156545128,
684,-0.001027078717,
683,-0.0009928337531,
682,-0.0007639991236,
681,-0.0006712736213,
680,-0.000818467408,
679,-0.0006887451163,
678,-0.001130675548,
677,-0.0009044451872,
676,-0.0003298690135,
675,-0.000782242103,
674,-0.0007309737266,
673,-0.0009998069145,
672,-0.0008066854789,
671,-0.0008750989218,
670,-0.000726011931,
669,-0.0004694729287,
668,-0.0008208961226,
667,-0.0007097824127,
666,-0.0008946288726,
665,-0.000787720026,
664,-0.0006698262296,
663,-0.0004842634662,
662,-0.001014940906,
661,-0.0004790402891,
660,-0.0009691756568,
659,-0.001031107386,
658,-0.0005718068569,
657,-0.0008213095134,
656,-0.0006432556547,
655,-0.000523667899,
654,-0.0005477122031,
653,-0.0005623449688,
652,-0.0009076483548,
651,-0.0007254951051,
650,-0.0005097578396,
649,-0.00042385704,
648,-0.0004796091525,
647,-0.0007561435341,
646,-0.0005674636923,
645,-0.0009051684756,
644,-0.0006480115699,
643,-0.0007143825642,
642,-0.0006504929042,
641,-0.0003160561901,
640,-0.0008082357235,
639,-0.0003209191782,
638,-0.0007726814365,
637,-0.0004834877618,
636,-0.0006677585188,
635,-0.0009418484988,
634,-0.000882539025,
633,-0.0004093747993,
632,-0.0005717551685,
631,-0.000780846749,
630,-0.0008291638806,
629,-0.0008051351761,
628,-0.000754903187,
627,-0.0005482809502,
626,-0.0007571771857,
625,-0.0008665736532,
624,-0.0008198109572,
623,-0.0007546964334,
622,-0.00071851752,
621,-0.0005927463644,
620,-0.0006570580881,
619,-0.0006767012528,
618,-0.0007864280487,
617,-0.0006224219105,
616,-0.0007575906347,
615,-0.000774128479,
614,-0.0007416206645,
613,-0.0006894171238,
612,-0.0006277467473,
611,-0.0004975538468,
610,-0.0005245986977,
609,-0.0005470917094,
608,-0.0008865689742,
607,-0.0006150807603,
606,-0.0005371121806,
605,-0.0006399471313,
604,-0.0008913739584,
603,-0.0007647226448,
602,-0.0007656529197,
601,-0.000832781021,
600,-0.0007081284421,
599,-0.0005710829864,
598,-0.0006460471777,
597,-0.000759554503,
596,-0.0006576267187,
595,-0.0004559748631,
594,-0.0005241333274,
593,-0.0006212329026,
592,-0.0009072350804,
591,-0.000690347515,
590,-0.0007779010339,
589,-0.0006046375493,
588,-0.0008821773226,
587,-0.0007402768824,
586,-0.0004072024021,
585,-0.0007403285708,
584,-0.0007037866162,
583,-0.0005572778173,
582,-0.0008027580916,
581,-0.0006908643991,
580,-0.0007718028501,
579,-0.0004960541264,
578,-0.0008162453887,
577,-0.0005310106208,
576,-0.0005279597826,
575,-0.0009628735133,
574,-0.0005147737684,
573,-0.0003667010751,
572,-0.0003057609429,
571,-0.0001965335687,
570,-0.0006595393643,
569,-0.0005028284504,
568,-0.0005558300763,
567,-0.0005759948399,
566,-0.0004737653362,
565,-0.0005437824875,
564,-0.0005736681633,
563,-0.0006572131533,
562,-0.0006781485863,
561,-0.0005764601519,
560,-0.0004509064893,
