t	rho
0.000000	994.001465
1.000000	1021.372253
2.000000	1019.374268
3.000000	1018.319641
4.000000	1020.224731
5.000000	1016.138916
6.000000	1015.326050
7.000000	1018.364197
8.000000	1020.320312
9.000000	1017.799438
10.000000	1023.722839
11.000000	1016.605225
12.000000	1019.542297
13.000000	1019.667969
14.000000	1015.419067
15.000000	1022.285583
16.000000	1020.970398
17.000000	1023.678528
18.000000	1013.642029
19.000000	1020.934875
20.000000	1018.115540
21.000000	1017.859558
22.000000	1017.412720
23.000000	1020.498474
24.000000	1019.757446
25.000000	1019.046692
26.000000	1016.822021
27.000000	1019.770691
28.000000	1019.091980
29.000000	1015.891357
30.000000	1015.339050
31.000000	1016.782104
32.000000	1017.679871
33.000000	1019.041077
34.000000	1023.555298
35.000000	1014.954590
36.000000	1021.462280
37.000000	1019.134827
38.000000	1015.429443
39.000000	1021.963928
40.000000	1018.095154
41.000000	1017.329590
42.000000	1016.143494
43.000000	1023.985535
44.000000	1016.481384
45.000000	1019.860046
46.000000	1015.592224
47.000000	1022.130188
48.000000	1017.447632
49.000000	1016.510376
50.000000	1020.432678
51.000000	1022.255310
52.000000	1015.814880
53.000000	1021.496399
54.000000	1019.002441
55.000000	1019.114197
56.000000	1020.933533
57.000000	1022.040894
58.000000	1018.414490
59.000000	1018.450806
60.000000	1022.204102
61.000000	1018.707886
62.000000	1017.435730
63.000000	1016.941895
64.000000	1022.845947
65.000000	1018.832397
66.000000	1017.518555
67.000000	1017.315796
68.000000	1018.155823
69.000000	1014.528687
70.000000	1018.475159
71.000000	1019.583679
72.000000	1017.656738
73.000000	1017.799805
74.000000	1023.504028
75.000000	1019.252014
76.000000	1019.288513
77.000000	1022.284790
78.000000	1015.273987
79.000000	1017.216248
80.000000	1018.139282
81.000000	1021.435730
82.000000	1019.024841
83.000000	1020.718567
84.000000	1020.413208
85.000000	1019.429077
86.000000	1018.108704
87.000000	1020.641785
88.000000	1017.889648
89.000000	1017.851624
90.000000	1015.597290
91.000000	1021.839722
92.000000	1019.351013
93.000000	1023.785706
94.000000	1022.714233
95.000000	1022.410889
96.000000	1019.695068
97.000000	1018.852173
98.000000	1019.341736
99.000000	1018.672302
100.000000	1021.089600
