t	T
0.000000	301.039032
1.000000	298.560394
2.000000	298.991425
3.000000	301.007019
4.000000	298.276337
5.000000	297.931946
6.000000	301.994019
7.000000	299.395782
8.000000	300.344055
9.000000	300.643829
10.000000	297.064819
11.000000	303.892761
12.000000	300.494781
13.000000	300.099579
14.000000	299.919891
15.000000	299.325775
16.000000	299.827423
17.000000	296.458160
18.000000	298.748474
19.000000	298.976074
20.000000	299.098816
21.000000	299.931854
22.000000	302.225006
23.000000	303.405060
24.000000	299.148285
25.000000	301.365234
26.000000	302.216339
27.000000	302.894684
28.000000	300.540253
29.000000	303.897583
30.000000	299.586792
31.000000	302.048431
32.000000	301.872681
33.000000	299.058319
34.000000	300.947937
35.000000	300.371857
36.000000	299.239532
37.000000	301.404205
38.000000	298.058167
39.000000	299.246796
40.000000	299.511047
41.000000	302.871429
42.000000	300.312775
43.000000	300.248871
44.000000	299.892883
45.000000	301.429138
46.000000	298.515900
47.000000	298.754761
48.000000	300.030701
49.000000	304.136932
50.000000	299.694763
51.000000	297.227600
52.000000	300.240173
53.000000	297.926544
54.000000	300.834564
55.000000	299.801270
56.000000	301.121094
57.000000	295.185211
58.000000	302.447083
59.000000	299.532349
60.000000	301.522247
61.000000	300.200653
62.000000	299.516632
63.000000	297.327393
64.000000	300.924927
65.000000	298.334229
66.000000	299.555664
67.000000	301.197479
68.000000	298.609253
69.000000	300.921570
70.000000	302.646454
71.000000	300.525146
72.000000	301.414001
73.000000	296.904999
74.000000	300.889465
75.000000	297.705475
76.000000	302.881744
77.000000	299.535614
78.000000	301.159668
79.000000	301.715759
80.000000	296.411774
81.000000	303.153259
82.000000	297.170624
83.000000	300.305084
84.000000	298.735077
85.000000	299.801361
86.000000	302.206665
87.000000	301.739288
88.000000	300.937988
89.000000	300.467163
90.000000	299.871887
91.000000	296.642731
92.000000	299.779755
93.000000	301.450104
94.000000	299.727783
95.000000	296.977936
96.000000	300.403900
97.000000	301.450012
98.000000	298.890869
99.000000	301.184021
100.000000	299.084656
