t	Rg
0	1.41026
10	1.41654
20	1.4129
30	1.42764
40	1.42866
50	1.43546
60	1.4227
70	1.42937
80	1.42865
90	1.42263
100	1.4136
110	1.41748
120	1.41711
130	1.417
140	1.42351
150	1.41213
160	1.40612
170	1.4186
180	1.41424
190	1.42631
200	1.42179
210	1.41306
220	1.41219
230	1.41066
240	1.40951
250	1.40555
260	1.40346
270	1.4044
280	1.40489
290	1.40435
300	1.40392
310	1.4029
320	1.40681
330	1.41353
340	1.40598
350	1.41084
360	1.40822
370	1.40918
380	1.41789
390	1.42168
400	1.41873
410	1.41592
420	1.40448
430	1.41408
440	1.40627
450	1.41375
460	1.41751
470	1.40583
480	1.40404
490	1.4028
500	1.39667
510	1.40381
520	1.40872
530	1.41034
540	1.41165
550	1.40698
560	1.40083
570	1.40353
580	1.4055
590	1.40919
600	1.41409
610	1.4106
620	1.40237
630	1.3982
640	1.40248
650	1.40634
660	1.40613
670	1.41028
680	1.40735
690	1.41622
700	1.41525
710	1.40925
720	1.4115
730	1.40969
740	1.40929
750	1.40791
760	1.41104
770	1.41545
780	1.41429
790	1.41002
800	1.41031
810	1.40571
820	1.40738
830	1.40986
840	1.41264
850	1.40812
860	1.40813
870	1.40232
880	1.40902
890	1.39873
900	1.40733
910	1.41053
920	1.4011
930	1.40277
940	1.40188
950	1.39727
960	1.40267
970	1.40461
980	1.41024
990	1.40112
1000	1.39283
