t	RMSD
0.0000000	0.0356789
0.0100000	0.0630561
0.0200000	0.0645727
0.0300000	0.0755904
0.0400000	0.0763405
0.0500000	0.0933157
0.0600000	0.0913958
0.0700000	0.0953094
0.0800000	0.1019283
0.0900000	0.0932634
0.1000000	0.0943031
0.1100000	0.1038306
0.1200000	0.0982170
0.1300000	0.0945334
0.1400000	0.0974874
0.1500000	0.0966475
0.1600000	0.0962464
0.1700000	0.1071050
0.1800000	0.0924288
0.1900000	0.0910865
0.2000000	0.0930973
0.2100000	0.0990937
0.2200000	0.0998363
0.2300000	0.1132589
0.2400000	0.1049833
0.2500000	0.1029736
0.2600000	0.1051802
0.2700000	0.1048565
0.2800000	0.0927607
0.2900000	0.0975923
0.3000000	0.1008701
0.3100000	0.1034840
0.3200000	0.1119326
0.3300000	0.0999191
0.3400000	0.1045731
0.3500000	0.1072053
0.3600000	0.1080296
0.3700000	0.0909035
0.3800000	0.0982690
0.3900000	0.0998305
0.4000000	0.0985479
0.4100000	0.0905861
0.4200000	0.1034899
0.4300000	0.0904792
0.4400000	0.1053980
0.4500000	0.1098952
0.4600000	0.0938408
0.4700000	0.0950433
0.4800000	0.1018863
0.4900000	0.1212913
0.5000000	0.1153190
0.5100001	0.1024745
0.5200000	0.1066898
0.5300000	0.1026056
0.5400000	0.1066886
0.5500000	0.1137496
0.5600000	0.1200629
0.5700001	0.1110219
0.5800000	0.1198338
0.5900000	0.1151940
0.6000000	0.1083384
0.6100000	0.1056632
0.6200000	0.0993110
0.6300001	0.0949483
0.6400000	0.1070417
0.6500000	0.1086634
0.6600000	0.1115639
0.6700000	0.1099414
0.6800000	0.1086560
0.6900001	0.0993122
0.7000000	0.0921545
0.7100000	0.1076163
0.7200000	0.1103812
0.7300000	0.1130834
0.7400000	0.1115800
0.7500001	0.1031840
0.7600001	0.1066698
0.7700000	0.1121980
0.7800000	0.1068812
0.7900000	0.1087326
0.8000000	0.1103716
0.8100001	0.1039011
0.8200001	0.1026592
0.8300000	0.1154163
0.8400000	0.1166091
0.8500000	0.1273883
0.8600000	0.1195860
0.8700001	0.1206687
0.8800001	0.1081112
0.8900000	0.1221513
0.9000000	0.1223369
0.9100000	0.1378308
0.9200000	0.1184497
0.9300001	0.1230059
0.9400001	0.1164357
0.9500000	0.1114070
0.9600000	0.1053039
0.9700000	0.1021787
0.9800000	0.0996273
0.9900001	0.1180115
1.0000000	0.1194989
