t	RMSD
0.0000000	0.0004957
0.0100000	0.0560304
0.0200000	0.0630731
0.0300000	0.0725037
0.0400000	0.0701681
0.0500000	0.0855411
0.0600000	0.0896942
0.0700000	0.0952251
0.0800000	0.0984355
0.0900000	0.0908381
0.1000000	0.0930298
0.1100000	0.1016353
0.1200000	0.0960191
0.1300000	0.0914070
0.1400000	0.0974516
0.1500000	0.0950096
0.1600000	0.0926340
0.1700000	0.1026272
0.1800000	0.0895240
0.1900000	0.0880041
0.2000000	0.0888877
0.2100000	0.0947837
0.2200000	0.0974951
0.2300000	0.1074676
0.2400000	0.1022552
0.2500000	0.1002955
0.2600000	0.1031667
0.2700000	0.1010759
0.2800000	0.0882994
0.2900000	0.0935788
0.3000000	0.0983371
0.3100000	0.1007530
0.3200000	0.1132274
0.3300000	0.0985942
0.3400000	0.1027587
0.3500000	0.1047345
0.3600000	0.1080634
0.3700000	0.0875248
0.3800000	0.0931314
0.3900000	0.0974832
0.4000000	0.0969464
0.4100000	0.0894181
0.4200000	0.1031841
0.4300000	0.0899124
0.4400000	0.1061420
0.4500000	0.1072716
0.4600000	0.0936799
0.4700000	0.0933524
0.4800000	0.1014439
0.4900000	0.1216979
0.5000000	0.1136255
0.5100001	0.0997724
0.5200000	0.1029265
0.5300000	0.1017053
0.5400000	0.1069633
0.5500000	0.1146811
0.5600000	0.1197095
0.5700001	0.1099185
0.5800000	0.1176644
0.5900000	0.1133466
0.6000000	0.1061997
0.6100000	0.1038908
0.6200000	0.0975409
0.6300001	0.0963951
0.6400000	0.1065917
0.6500000	0.1089356
0.6600000	0.1117437
0.6700000	0.1119529
0.6800000	0.1117402
0.6900001	0.0994509
0.7000000	0.0905932
0.7100000	0.1052201
0.7200000	0.1073964
0.7300000	0.1109866
0.7400000	0.1107696
0.7500001	0.1024773
0.7600001	0.1064725
0.7700000	0.1133605
0.7800000	0.1058323
0.7900000	0.1104872
0.8000000	0.1096552
0.8100001	0.1039496
0.8200001	0.1021920
0.8300000	0.1156242
0.8400000	0.1147464
0.8500000	0.1280082
0.8600000	0.1212698
0.8700001	0.1229248
0.8800001	0.1084089
0.8900000	0.1254608
0.9000000	0.1252527
0.9100000	0.1408743
0.9200000	0.1188559
0.9300001	0.1248438
0.9400001	0.1170438
0.9500000	0.1143422
0.9600000	0.1066832
0.9700000	0.1018673
0.9800000	0.0991721
0.9900001	0.1193264
1.0000000	0.1213338
